# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
-3.38212 3.48457 0.30488  0.000000 -0.252788 0.967522
-3.38212 3.29695 0.21107  0.032547 -0.182811 0.982609
-3.38212 3.08588 0.21107  -0.052678 -0.000000 0.998612
-3.32425 4.49303 0.20192  0.249127 0.110230 0.962177
-3.30971 4.07089 0.24651  0.308421 0.189966 0.932089
-3.28791 3.85981 0.31340  0.353294 0.074817 0.932516
-3.29517 3.48457 0.29111  0.278212 -0.190940 0.941350
-3.32425 3.29695 0.20192  0.291530 -0.246628 0.924221
-3.32425 3.08588 0.20192  0.258479 -0.000000 0.966017
-3.27190 4.49303 0.17526  0.584180 0.110439 0.804075
-3.24431 4.07089 0.21319  0.552565 0.206901 0.807381
-3.20293 3.85981 0.27009  0.624132 0.074828 0.777727
-3.21672 3.48457 0.25112  0.545589 -0.167117 0.821221
-3.27190 3.29695 0.17526  0.579625 -0.285899 0.763084
-3.27190 3.08588 0.17526  0.544237 -0.000000 0.838931
-3.23032 4.49303 0.13367  0.838124 0.110236 0.534225
-3.19238 4.07089 0.16126  0.776989 0.206673 0.594621
-3.13548 3.85981 0.20265  0.806400 0.079745 0.585968
-3.15445 3.48457 0.18885  0.792116 -0.166253 0.587293
-3.23032 3.29695 0.13367  0.817075 -0.246227 0.521307
-3.23032 3.08588 0.13367  0.776911 -0.000000 0.629611
-3.20366 4.49303 0.08132  0.962177 0.110230 0.249127
-3.15906 4.07089 0.09586  0.932088 0.189966 0.308423
-3.09217 3.85981 0.11767  0.932516 0.074816 0.353295
-3.11447 3.48457 0.11040  0.941350 -0.190939 0.278213
-3.20366 3.29695 0.08132  0.938141 -0.246323 0.243346
-3.20366 3.08588 0.08132  0.933444 -0.000000 0.358724
-3.19450 4.49303 0.02345  0.993884 0.110432 0.000000
-3.14759 4.07089 0.02345  0.987528 0.157441 0.000000
-3.07723 3.85981 0.02345  0.997385 0.072268 0.000000
