# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created
-2.50490 4.82652 -61.42859  -0.036196 0.016897 -0.007328  0.040612  79.60 26.97  6  rooms  0.000 2 1
6.47946 0.25799 -53.46453  -0.085391 0.000028 -0.052090  0.100025  0.02 0.00  5  rooms::mirUV  0.000 1 1
6.53619 0.25798 -53.55753  -0.085391 0.000024 -0.052090  0.100025  0.04 0.00  5  rooms::mirUV  0.000 1 1
17.79629 15.26966 -72.43188  -0.101788 0.000000 0.000000  0.101788  0.00 0.00  5  rooms::mirUV  0.000 1 1
6.57110 0.25796 -53.61476  -0.085390 -0.000001 -0.052090  0.100024  0.02 0.00  5  rooms::mirUV  0.000 1 1
7.08604 0.25796 -54.45890  -0.085390 -0.000004 -0.052090  0.100024  0.03 0.00  4  rooms::mirUV  0.000 1 1
7.43297 0.25795 -55.02763  -0.085390 -0.000010 -0.052090  0.100024  0.02 0.02  4  rooms::mirUV  0.000 1 1
7.47224 0.25796 -55.09201  -0.085390 0.000000 -0.052090  0.100024  0.02 0.00  6  rooms::mirUV  0.000 1 1
-2.46205 0.00744 -51.29591  0.006650 0.007445 0.000000  0.009982  48.23 48.23  2  rooms::mirUV  0.000 1 1
5.48324 0.29395 -51.69934  -0.032094 -0.017053 -0.007366  0.037083  32.62 29.23  6  rooms::mirUV  0.000 2 1
6.17073 0.31100 -52.78416  -0.007915 0.000000 -0.004826  0.009270  0.03 0.00  9  rooms::mirUV  0.000 1 1
6.15500 0.31100 -52.92136  -0.080369 0.000000 -0.049023  0.094141  0.00 0.00  6  rooms::mirUV  0.000 1 1
7.13977 0.31100 -54.42612  -0.031657 0.000000 -0.019310  0.037082  0.00 0.00  6  rooms::mirUV  0.000 1 1
7.99073 0.31100 -55.82110  -0.031658 0.000000 -0.019310  0.037083  0.00 0.00  10  rooms::mirUV  0.000 1 1
31.26920 15.26966 -76.01431  0.000000 0.000000 -0.101791  0.101791  0.00 0.00  6  rooms  0.000 1 1
5.51503 1.68032 -51.69204  -0.000308 -0.000032 -0.000072  0.000318  19.01 12.39  6  rooms::mirUV  0.000 2 1
6.25495 1.68036 -52.93892  -0.015337 0.000000 -0.009357  0.017966  0.00 0.00  5  rooms::mirUV  0.000 1 1
7.15484 1.68036 -54.41693  -0.016592 -0.000000 -0.010120  0.019435  0.03 0.00  7  rooms::mirUV  0.000 1 1
7.99675 1.68036 -55.81742  -0.025632 0.000000 -0.015633  0.030023  0.02 0.00  9  rooms::mirUV  0.000 1 1
6.08974 1.74546 -52.83357  -0.088906 0.000016 -0.054234  0.104142  0.02 0.00  4  rooms::mirUV  0.000 1 1
15.56684 0.31100 -61.83431  -0.016507 0.000000 -0.033207  0.037084  0.03 0.00  10  rooms  0.000 1 1
6.14647 1.74544 -52.92657  -0.088905 -0.000012 -0.054234  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
6.50431 1.74544 -53.51318  -0.088904 -0.000003 -0.054234  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1
6.61122 1.74545 -53.68844  -0.088905 -0.000001 -0.054234  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
7.04979 1.74549 -54.40739  -0.088908 0.000041 -0.054230  0.104141  0.03 0.00  5  rooms::mirUV  0.000 1 1
7.08252 1.74545 -54.46105  -0.088905 -0.000001 -0.054234  0.104141  0.03 0.00  5  rooms::mirUV  0.000 1 1
49.38432 15.20637 -65.45521  0.010319 0.000000 0.000000  0.010319  0.00 0.00  11  rooms  0.000 1 1
7.39018 1.74545 -54.96539  -0.088905 -0.000001 -0.054234  0.104141  0.02 0.02  4  rooms::mirUV  0.000 1 1
7.42509 1.74545 -55.02261  -0.088905 0.000000 -0.054234  0.104141  0.02 0.02  6  rooms::mirUV  0.000 1 1
7.46218 1.74545 -55.08342  -0.088906 0.000000 -0.054234  0.104142  0.02 0.00  5  rooms::mirUV  0.000 1 1
41.81240 7.81112 -75.97725  0.000000 0.000000 -0.064728  0.064728  0.00 0.00  7  rooms  0.000 1 1
7.49709 1.74545 -55.14065  -0.088905 0.000000 -0.054234  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
46.40776 16.80657 -75.98608  0.000000 0.000000 -0.073555  0.073555  0.00 0.00  7  rooms  0.000 1 1
-7.38681 -0.02097 -49.11483  0.000000 -0.020967 0.000000  0.020967  0.00 0.00  7  floor::mirUV  1.000 1 1
9.32987 0.00481 -49.66375  0.000000 0.004811 0.000000  0.004811  0.00 0.00  3  floor::mirUV  1.000 1 1
8.71269 0.00727 -48.12081  0.000000 0.007268 0.000000  0.007268  0.00 0.00  6  floor::mirUV  1.000 1 1
8.24000 0.00315 -50.24324  -0.000001 0.003151 0.000000  0.003151  0.02 0.02  3  floor::mirUV  1.000 1 1
7.55058 0.00256 -46.86762  0.000000 0.002563 0.000000  0.002563  0.00 0.00  6  floor::mirUV  1.000 1 1
7.15013 0.00204 -50.82273  0.000000 0.002037 0.000000  0.002037  0.00 0.00  3  floor::mirUV  1.000 1 1
-1.36454 -0.01273 -57.88412  0.000000 -0.012732 0.000000  0.012732  0.00 0.00  6  floor::mirUV  1.000 1 1
7.07789 0.00080 -48.99005  0.000000 0.000798 0.000000  0.000798  0.00 0.00  6  floor::mirUV  1.000 1 1
7.00565 0.00809 -47.15736  0.000000 0.008094 0.000000  0.008094  0.00 0.00  6  floor::mirUV  1.000 1 1
6.53296 0.00021 -49.27979  0.000000 0.000210 0.000000  0.000210  0.00 0.00  6  floor::mirUV  1.000 1 1
43.42616 3.27271 -76.01431  0.000000 0.000000 -0.101791  0.101791  0.00 0.00  6  rooms  0.000 1 1
6.46072 -0.01492 -47.44711  0.000000 -0.014924 0.000000  0.014924  0.00 0.00  6  floor::mirUV  1.000 1 1
5.44309 0.00000 -49.85929  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
5.98803 0.02194 -49.56954  0.000000 0.021938 0.000000  0.021938  0.00 0.00  6  floor::mirUV  1.000 1 1
5.91578 0.00492 -47.73685  0.000000 0.004915 0.000000  0.004915  0.00 0.00  6  floor::mirUV  1.000 1 1
8.08604 3.26910 -56.10160  -0.086897 0.000000 -0.053009  0.101789  0.00 0.00  4  rooms::mirUV  0.000 1 1
9.25762 0.00256 -47.83106  0.000000 0.002563 0.000000  0.002563  0.00 0.00  6  floor::mirUV  1.000 1 1
9.87480 0.00000 -47.83106  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
7.69507 -0.00332 -50.53299  0.000000 -0.003320 0.000000  0.003320  0.00 0.00  6  floor::mirUV  1.000 1 1
49.39314 16.68000 -64.89799  0.019142 0.000000 0.000000  0.019142  0.08 0.00  12  rooms  0.000 1 1
-11.79624 -0.00156 -50.14969  0.000000 -0.001555 0.000000  0.001555  0.00 0.00  10  floor::mirUV  1.000 1 1
7.74964 0.00000 -55.35468  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
7.32273 0.00962 -52.50000  0.000000 0.009621 0.000000  0.009621  0.00 0.00  6  floor::mirUV  1.000 1 1
5.51533 0.00000 -51.69197  0.000000 0.000000 0.000000  0.000000  0.00 0.00  13  floor::mirUV  1.000 1 0
2.31441 -0.00126 -55.50221  0.000000 -0.001261 0.000000  0.001261  0.00 0.00  8  floor::mirUV  1.000 1 1
2.46737 -0.00597 -55.36098  0.008318 -0.005973 -0.001690  0.010379  54.87 54.87  4  floor::mirUV  1.000 1 1
2.20110 -0.00420 -54.25171  0.000000 -0.004202 0.000000  0.004202  0.00 0.00  6  floor::mirUV  1.000 1 1
2.46870 0.00000 -54.25171  0.000000 0.000000 0.000000  0.000000  0.00 0.00  5  floor::mirUV  1.000 1 1
2.34334 -0.02214 -54.12070  0.000000 -0.022143 0.000000  0.022143  0.00 0.00  5  floor::mirUV  1.000 1 1
17.82482 16.80657 -65.50222  -0.073259 0.000000 0.000000  0.073259  0.00 0.00  6  rooms::mirUV  0.000 1 1
2.46772 -0.00667 -54.12246  0.008662 -0.006668 -0.001759  0.011072  52.97 52.97  4  floor::mirUV  1.000 1 1
26.04369 12.31335 -75.99785  -0.000011 -0.000012 -0.085320  0.085320  0.02 0.00  5  rooms  0.000 1 1
2.31441 -0.00244 -53.97779  0.000000 -0.002437 0.000000  0.002437  0.00 0.00  7  floor::mirUV  1.000 1 1
49.41108 13.81411 -62.43592  0.037083 0.000000 0.000004  0.037083  0.03 0.00  7  rooms  0.000 1 1
2.46001 -0.00074 -53.97798  0.000951 -0.000738 -0.000195  0.001219  52.75 52.75  8  floor::mirUV  1.000 1 1
2.31441 -0.00126 -52.94166  0.000000 -0.001261 0.000000  0.001261  0.00 0.00  7  floor::mirUV  1.000 1 1
2.46870 0.00000 -52.94166  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
-1.23676 -0.01273 -57.88412  0.000000 -0.012732 0.000000  0.012732  0.00 0.00  5  floor::mirUV  1.000 1 1
2.25896 -0.01508 -52.83447  0.000000 -0.015085 0.000000  0.015085  0.00 0.00  5  floor::mirUV  1.000 1 1
17.79393 1.74485 -64.01503  -0.104141 0.000000 0.000000  0.104141  0.03 0.00  5  rooms::mirUV  0.000 1 1
2.31441 -0.01508 -52.83447  0.000000 -0.015085 0.000000  0.015085  0.00 0.00  5  floor::mirUV  1.000 1 1
49.50520 16.74328 -63.39484  0.131199 0.000000 0.000000  0.131199  0.00 0.00  4  rooms  0.000 1 1
2.25896 -0.00067 -52.73919  0.000000 -0.000673 0.000000  0.000673  0.00 0.00  10  floor::mirUV  1.000 1 1
2.46870 0.00000 -52.73920  0.000000 0.000000 0.000000  0.000000  0.00 0.00  5  floor::mirUV  1.000 1 1
46.84962 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
2.40120 -0.00420 -51.69115  0.000000 -0.004202 0.000000  0.004202  0.00 0.00  8  floor::mirUV  1.000 1 1
2.31441 -0.02450 -51.56015  0.000000 -0.024496 0.000000  0.024496  0.00 0.00  5  floor::mirUV  1.000 1 1
2.46870 0.00000 -51.42915  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  floor::mirUV  1.000 1 1
2.31441 -0.01744 -50.28583  0.000000 -0.017437 0.000000  0.017437  0.00 0.00  5  floor::mirUV  1.000 1 1
2.46870 0.00000 -50.28583  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
2.45706 -0.01193 -50.28837  0.012464 -0.011927 -0.002544  0.017438  46.85 46.85  5  floor::mirUV  1.000 1 1
2.46870 0.00000 -50.17864  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1
2.23003 -0.00391 -49.14251  0.000000 -0.003908 0.000000  0.003908  0.00 0.00  8  floor::mirUV  1.000 1 1
2.46870 0.00000 -49.14251  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1
2.08538 -0.02273 -49.01151  0.000000 -0.022732 0.000000  0.022732  0.00 0.00  6  floor::mirUV  1.000 1 1
2.23003 -0.02273 -49.01151  0.000000 -0.022732 0.000000  0.022732  0.00 0.00  5  floor::mirUV  1.000 1 1
2.46870 0.00000 -49.01151  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  floor::mirUV  1.000 1 1
2.46870 0.00000 -48.86859  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
2.34334 -0.01244 -47.89201  0.000000 -0.012437 0.000000  0.012437  0.00 0.00  7  floor::mirUV  1.000 1 1
-10.13879 4.74694 -56.29412  0.000000 0.000000 -0.131199  0.131199  0.00 0.00  5  rooms  0.000 1 1
2.20110 -0.00979 -47.76100  0.000000 -0.009790 0.000000  0.009790  0.00 0.00  5  floor::mirUV  1.000 1 1
2.46453 -0.00598 -47.76212  0.005475 -0.005979 -0.001114  0.008183  43.06 43.06  5  floor::mirUV  1.000 1 1
2.46451 -0.00600 -47.63110  0.005454 -0.005999 -0.001106  0.008183  42.85 42.85  6  floor::mirUV  1.000 1 1
17.79805 18.26211 -63.28093  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1
2.46870 0.00000 -47.63000  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
17.84776 1.80813 -73.02675  -0.050318 -0.000000 0.000000  0.050318  0.00 0.00  7  rooms::mirUV  0.000 1 1
2.46435 -0.00615 -46.64258  0.005294 -0.006146 -0.001076  0.008183  41.31 41.31  8  floor::mirUV  1.000 1 1
17.86099 12.31336 -66.40719  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  7  rooms::mirUV  0.000 1 1
2.57049 3.26910 -61.02824  0.101789 0.000000 0.000000  0.101789  0.00 0.00  5  rooms  0.000 1 1
2.46870 0.00000 -46.64151  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  floor::mirUV  1.000 1 1
2.31441 -0.02920 -46.48668  0.000000 -0.029202 0.000000  0.029202  0.00 0.00  5  floor::mirUV  1.000 1 1
40.41381 1.80813 -75.96461  0.000000 0.000000 -0.052086  0.052086  0.00 0.00  5  rooms  0.000 1 1
47.86783 9.20338 -75.98048  0.000000 0.000000 -0.067963  0.067963  0.00 0.00  6  rooms  0.000 1 1
49.46814 0.30738 -64.87208  0.094143 0.000000 0.000000  0.094143  0.00 0.00  7  rooms  0.000 1 1
2.46333 -0.02207 -46.49051  0.018735 -0.022071 -0.003826  0.029202  40.91 40.91  6  floor::mirUV  1.000 1 1
2.46870 0.00000 -46.48668  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  floor::mirUV  1.000 1 1
2.46432 -0.00617 -46.48775  0.005268 -0.006169 -0.001072  0.008183  41.07 41.07  5  floor::mirUV  1.000 1 1
23.92276 10.81262 -75.97460  0.000000 0.000000 -0.062080  0.062080  0.00 0.00  6  rooms  0.000 1 1
2.31441 -0.00008 -46.31995  0.000000 -0.000084 0.000000  0.000084  0.00 0.00  6  floor::mirUV  1.000 1 1
2.45835 -0.01635 -46.32276  0.013757 -0.016355 -0.002811  0.021555  40.65 40.65  6  floor::mirUV  1.000 1 1
11.13796 0.00526 -51.82535  -0.003551 0.005256 -0.001835  0.006603  52.74 52.74  2  rooms  0.000 1 1
10.78072 0.00101 -51.12737  -0.000624 0.001012 -0.000324  0.001232  55.23 55.23  2  rooms  0.000 1 1
37.37073 1.80813 -75.95960  0.000000 0.000000 -0.047081  0.047081  0.00 0.00  6  rooms  0.000 1 1
10.80271 0.00184 -51.17116  -0.001141 0.001841 -0.000587  0.002244  55.14 55.09  2  rooms  0.000 1 1
19.32740 4.74634 -76.04372  0.000000 0.000000 -0.131203  0.131203  0.13 0.00  4  rooms  0.000 1 1
11.59202 0.00116 -52.69684  -0.000877 0.001159 -0.000454  0.001523  49.62 49.52  2  rooms  0.000 1 1
10.96072 0.00109 -51.47564  -0.000703 0.001089 -0.000362  0.001346  54.02 54.02  2  rooms  0.000 1 1
11.73823 0.00893 -52.99466  -0.007028 0.008932 -0.003635  0.011933  48.45 48.45  2  rooms  0.000 1 1
16.13334 -0.00050 -62.07590  -0.000547 -0.000502 -0.001099  0.001326  22.34 22.10  2  rooms  0.000 1 1
10.62377 0.00000 -50.82233  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
11.41877 0.00000 -52.35967  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
11.04820 0.00495 -51.65108  -0.003267 0.004947 -0.001690  0.006165  53.37 53.37  2  rooms  0.000 1 1
11.07070 0.00494 -51.69462  -0.003279 0.004937 -0.001694  0.006164  53.23 53.23  2  rooms  0.000 1 1
11.84742 0.00825 -53.20492  -0.006668 0.008248 -0.003448  0.011153  47.69 47.69  2  rooms  0.000 1 1
11.47641 0.01039 -52.48990  -0.007660 0.010394 -0.003960  0.013505  50.37 50.37  2  rooms  0.000 1 1
10.87008 0.00206 -51.30183  -0.001299 0.002060 -0.000671  0.002526  54.64 54.64  2  rooms  0.000 1 1
10.89268 0.00192 -51.34532  -0.001219 0.001922 -0.000629  0.002361  54.49 54.49  2  rooms  0.000 1 1
11.67996 0.00000 -52.86475  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
13.56165 0.00015 -55.41407  -0.000072 0.000152 -0.000118  0.000206  47.80 47.80  2  rooms::mirUV  0.000 1 1
2.46054 0.00924 -47.03378  -0.008163 0.009240 0.000000  0.012329  48.54 48.54  2  rooms  0.000 1 1
10.51111 0.00019 -50.60474  -0.000109 0.000189 -0.000057  0.000225  56.98 56.98  2  rooms  0.000 1 1
-0.18563 -0.00097 -59.02744  0.000000 -0.000967 0.000000  0.000967  0.00 0.00  6  floor::mirUV  1.000 1 1
11.30969 0.00036 -52.14935  -0.000254 0.000359 -0.000130  0.000459  51.53 51.53  2  rooms  0.000 1 1
11.54633 0.00405 -52.61378  -0.003037 0.004055 -0.001572  0.005305  49.90 49.82  2  rooms  0.000 1 1
11.70173 0.00000 -52.90684  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
13.69215 0.00058 -55.49276  -0.000260 0.000581 -0.000435  0.000771  48.95 48.91  2  rooms::mirUV  0.000 1 1
13.64857 0.00062 -55.46667  -0.000282 0.000621 -0.000473  0.000830  48.47 48.47  2  rooms::mirUV  0.000 1 1
11.35298 0.00069 -52.23366  -0.000489 0.000686 -0.000252  0.000880  51.23 51.23  2  rooms  0.000 1 1
11.00564 0.00124 -51.56275  -0.000811 0.001242 -0.000416  0.001540  53.72 53.72  2  rooms  0.000 1 1
11.78179 0.00879 -53.07882  -0.006995 0.008794 -0.003616  0.011805  48.17 48.17  2  rooms  0.000 1 1
13.86666 0.00000 -55.59682  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1
49.41108 1.80813 -68.43560  0.037083 0.000000 0.000000  0.037083  0.00 0.00  7  rooms  0.000 1 1
11.46230 0.00000 -52.44386  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
-8.83814 -0.00303 -47.60204  0.000000 -0.003026 0.000000  0.003026  0.00 0.00  7  floor::mirUV  1.000 1 1
10.82505 0.00210 -51.21478  -0.001309 0.002101 -0.000675  0.002566  54.93 54.93  2  rooms  0.000 1 1
13.40758 -0.02230 -55.27327  0.026078 -0.042300 0.032608  0.059436  45.88 45.88  2  rooms::mirUV  0.000 1 1
49.37333 0.00134 -66.19058  -0.000671 0.001344 0.000000  0.001503  63.46 63.46  2  rooms  0.000 1 1
13.32232 0.01812 -55.26820  0.001208 -0.001883 0.001457  0.002670  45.51 45.51  2  rooms::mirUV  0.000 1 1
11.26340 -0.04440 -51.94950  0.044264 -0.064405 0.024124  0.081788  51.96 51.96  2  rooms  0.000 1 1
11.96874 0.01616 -53.41529  0.002955 -0.003844 0.002186  0.005319  46.97 46.97  2  rooms  0.000 1 1
14.15973 1.74544 -55.65114  0.053560 -0.000005 0.089314  0.104142  0.00 0.00  4  rooms::mirUV  0.000 1 1
14.09682 1.74545 -55.61341  0.053562 0.000005 0.089314  0.104143  0.02 0.00  5  rooms::mirUV  0.000 1 1
13.42248 1.74553 -55.20901  0.053554 0.000080 0.089317  0.104142  0.07 0.00  5  rooms::mirUV  0.000 1 1
13.38726 1.74540 -55.18789  0.053565 -0.000052 0.089310  0.104141  0.07 0.00  4  rooms::mirUV  0.000 1 1
13.32938 1.74545 -55.15318  0.053560 0.000000 0.089314  0.104142  0.02 0.00  6  rooms::mirUV  0.000 1 1
14.11511 1.68036 -55.72556  0.008938 0.000000 0.014900  0.017375  0.07 0.00  11  rooms::mirUV  0.000 1 1
14.08714 1.68035 -55.62955  0.043874 -0.000000 0.073174  0.085319  0.02 0.00  6  rooms::mirUV  0.000 1 1
49.37151 0.00423 -62.95102  -0.002495 0.004228 0.000000  0.004909  59.46 59.46  2  rooms  0.000 1 1
14.12524 0.31100 -55.70865  0.019074 -0.000002 0.031799  0.037081  0.10 0.00  9  rooms::mirUV  0.000 1 1
17.79629 15.26664 -59.04870  -0.101788 0.000000 0.000000  0.101788  0.00 0.00  4  rooms::mirUV  0.000 1 1
14.08715 0.31101 -55.62957  0.043883 0.000011 0.073166  0.085317  0.02 0.00  5  rooms::mirUV  0.000 1 1
13.99691 0.31100 -55.63169  0.019072 0.000000 0.031803  0.037083  0.03 0.00  7  rooms::mirUV  0.000 1 1
14.15762 0.25784 -55.65468  0.051451 -0.000119 0.085777  0.100025  0.07 0.00  5  rooms::mirUV  0.000 1 1
2.46003 0.00493 -59.32443  -0.008674 0.004928 0.000000  0.009976  29.60 29.60  2  rooms  0.000 1 1
14.02928 0.25796 -55.57771  0.051442 0.000001 0.085781  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1
49.47814 1.74485 -68.52631  0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms  0.000 1 1
40.95173 10.74933 -76.04372  0.000000 0.000000 -0.131203  0.131203  0.00 0.00  5  rooms  0.000 1 1
-9.75908 -0.02567 -48.84964  0.000000 -0.025673 0.000000  0.025673  0.00 0.00  9  floor::mirUV  1.000 1 1
13.47505 -0.00092 -55.36095  0.000449 -0.000923 0.000751  0.001272  46.51 46.26  3  rooms::mirUV  0.000 1 1
13.40177 -0.02226 -55.26975  0.026160 -0.042263 0.032589  0.059435  45.84 45.84  3  rooms::mirUV  0.000 1 1
13.40278 -0.04267 -55.27039  0.021280 -0.042668 0.035484  0.059435  45.89 45.88  4  rooms::mirUV  0.000 1 1
13.33686 0.20492 -55.24340  0.015744 0.000000 0.026253  0.030612  0.00 0.00  7  rooms::mirUV  0.000 1 1
13.32208 -0.00190 -55.26805  0.000964 -0.001902 0.001606  0.002670  45.44 45.44  3  rooms::mirUV  0.000 1 1
10.24338 1.74545 -49.86004  0.092505 0.000003 0.047836  0.104141  0.02 0.00  6  rooms  0.000 1 1
-2.46624 0.00210 -46.39736  0.002456 0.002103 0.000000  0.003234  40.57 40.57  2  rooms::mirUV  0.000 1 1
2.57284 1.74545 -48.97578  0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms  0.000 1 1
10.51526 1.74544 -50.38578  0.092505 -0.000006 0.047836  0.104141  0.00 0.00  5  rooms  0.000 1 1
11.01837 1.74545 -51.35867  0.092505 0.000000 0.047836  0.104141  0.02 0.00  6  rooms  0.000 1 1
11.30426 1.74549 -51.91152  0.092505 0.000039 0.047832  0.104140  0.03 0.00  5  rooms  0.000 1 1
11.35191 1.74546 -52.00365  0.092505 0.000010 0.047836  0.104142  0.04 0.00  4  rooms  0.000 1 1
11.38274 1.74545 -52.06328  0.092505 -0.000001 0.047836  0.104141  0.02 0.00  6  rooms  0.000 1 1
11.75832 1.74545 -52.78957  0.092506 0.000004 0.047832  0.104141  0.02 0.00  6  rooms  0.000 1 1
-1.04631 3.26903 -61.52304  -0.000006 -0.000073 -0.101788  0.101788  0.09 0.00  5  rooms  0.000 1 1
11.80737 1.74545 -52.88441  0.092505 0.000000 0.047836  0.104141  0.02 0.00  5  rooms  0.000 1 1
12.07924 1.74542 -53.41016  0.092504 -0.000023 0.047836  0.104140  0.00 0.00  5  rooms  0.000 1 1
12.11007 1.74543 -53.46978  0.092504 -0.000019 0.047836  0.104140  0.00 0.00  4  rooms  0.000 1 1
12.54311 1.74545 -54.30716  0.092503 -0.000001 0.047840  0.104141  0.02 0.00  5  rooms  0.000 1 1
12.81321 1.72793 -54.84079  0.075310 -0.017517 0.069763  0.104141  18.19 18.18  4  rooms  0.000 1 1
44.04092 18.30731 -75.99784  0.000000 0.000000 -0.085320  0.085320  0.00 0.00  5  rooms  0.000 1 1
10.18348 1.68036 -49.82232  0.060633 0.000000 0.031353  0.068259  0.03 0.00  8  rooms  0.000 1 1
10.87543 1.68036 -51.27116  0.015435 0.000000 0.007980  0.017376  0.03 0.00  11  rooms  0.000 1 1
10.96941 1.68036 -51.30499  0.075784 0.000000 0.039192  0.085318  0.02 0.00  6  rooms  0.000 1 1
10.94417 1.68036 -51.39704  0.018309 0.000000 0.009468  0.020612  0.03 0.00  5  rooms  0.000 1 1
33.58993 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  6  rooms  0.000 1 1
11.06877 0.31100 -59.59812  -0.016509 0.000000 -0.033207  0.037084  0.03 0.00  8  rooms  0.000 1 1
49.44226 0.30738 -61.85281  0.068260 0.000000 0.000000  0.068260  0.00 0.00  4  rooms  0.000 1 1
11.74839 1.68036 -52.79470  0.082579 -0.000000 0.042698  0.092964  0.02 0.00  4  rooms  0.000 1 1
12.74513 1.68029 -54.92389  0.000229 -0.000062 0.000214  0.000319  19.48 19.17  13  rooms  0.000 2 1
0.43154 3.33419 -61.51716  0.000000 0.000000 -0.095905  0.095905  0.00 0.00  6  rooms  0.000 1 1
9.90155 0.21592 -49.36971  0.026749 -0.042039 0.004288  0.050012  59.04 57.67  6  rooms  0.000 2 1
10.12916 0.31100 -49.78515  0.032939 0.000000 0.017033  0.037082  0.00 0.00  8  rooms  0.000 1 1
29.31732 0.00115 -75.91149  0.000000 0.001146 0.001030  0.001541  48.05 48.05  2  rooms  0.000 1 1
10.95880 0.31100 -51.38948  0.032939 -0.000001 0.017033  0.037082  0.03 0.00  7  rooms  0.000 1 1
11.66792 0.31100 -52.76075  0.032939 0.000001 0.017033  0.037082  0.03 0.00  8  rooms  0.000 1 1
11.76765 0.31100 -52.82938  0.083621 0.000001 0.043243  0.094141  0.02 0.00  6  rooms  0.000 1 1
12.51176 0.31100 -54.32338  0.061154 -0.000002 0.031624  0.068847  0.03 0.00  7  rooms  0.000 1 1
12.51017 0.31100 -54.38946  0.032939 0.000001 0.017033  0.037082  0.00 0.00  6  rooms  0.000 1 1
12.76674 0.28892 -54.90383  0.021833 -0.022077 0.020275  0.037083  39.54 39.27  10  rooms  0.000 2 1
10.21170 0.25796 -49.80773  0.088847 0.000003 0.045944  0.100023  0.00 0.00  6  rooms  0.000 1 1
10.48778 0.25796 -50.34160  0.088847 0.000000 0.045944  0.100023  0.02 0.00  6  rooms  0.000 1 1
49.43814 4.80963 -74.44823  0.064140 0.000000 0.000000  0.064140  0.00 0.00  7  rooms  0.000 1 1
17.86099 12.31336 -67.90703  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  7  rooms::mirUV  0.000 1 1
10.52141 0.25796 -50.40664  0.088847 -0.000002 0.045944  0.100023  0.00 0.00  4  rooms  0.000 1 1
10.55505 0.25796 -50.47168  0.088847 0.000005 0.045944  0.100023  0.00 0.00  5  rooms  0.000 1 1
10.94884 0.25793 -51.23319  0.088846 -0.000031 0.045948  0.100024  0.02 0.00  5  rooms  0.000 1 1
20.82109 -0.00035 -75.91295  0.000000 -0.000345 -0.000427  0.000549  38.93 38.93  2  rooms  0.000 1 1
10.98248 0.25798 -51.29823  0.088848 0.000018 0.045944  0.100024  0.02 0.00  6  rooms  0.000 1 1
11.01471 0.25796 -51.36057  0.088847 0.000000 0.045944  0.100023  0.02 0.00  4  rooms  0.000 1 1
11.30621 0.25796 -51.92425  0.088849 -0.000002 0.045940  0.100023  0.03 0.00  4  rooms  0.000 1 1
11.32442 0.25796 -51.95948  0.088847 -0.000002 0.045944  0.100023  0.04 0.00  5  rooms  0.000 1 1
11.72383 0.25795 -52.73183  0.088847 -0.000011 0.045944  0.100023  0.02 0.00  6  rooms  0.000 1 1
11.80371 0.25796 -52.88630  0.088847 -0.000003 0.045944  0.100023  0.00 0.00  5  rooms  0.000 1 1
12.13024 0.25796 -53.51774  0.088847 0.000002 0.045944  0.100023  0.02 0.00  5  rooms  0.000 1 1
