# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created
17.79805 0.25314 -68.38799  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.79805 0.25314 -69.34358  -0.100023 0.000000 0.000000  0.100023  0.02 0.00  6  rooms::mirUV  0.000 1 1
17.79805 0.25314 -69.40687  -0.100023 0.000004 0.000000  0.100023  0.02 0.00  4  rooms::mirUV  0.000 1 1
17.79805 0.25314 -69.97011  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.79805 0.25314 -70.00807  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.79805 0.25308 -71.41299  -0.100023 -0.000055 0.000000  0.100023  0.03 0.00  5  rooms::mirUV  0.000 1 1
17.79805 0.25314 -71.50792  -0.100023 0.000000 0.000000  0.100023  0.04 0.00  5  rooms::mirUV  0.000 1 1
17.79805 0.25314 -72.35593  -0.100023 0.000000 0.000000  0.100023  0.03 0.00  4  rooms::mirUV  0.000 1 1
17.79805 0.25314 -72.91283  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.79805 0.25313 -73.90640  -0.100023 -0.000004 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.79805 0.25314 -75.27969  -0.100023 0.000004 -0.000008  0.100023  0.04 0.00  4  rooms::mirUV  0.000 1 1
17.79805 0.25314 -75.34296  -0.100023 0.000000 0.000000  0.100023  0.04 0.00  6  rooms::mirUV  0.000 1 1
17.82923 0.30738 -66.35655  -0.068848 0.000000 0.000000  0.068848  0.00 0.00  8  rooms::mirUV  0.000 1 1
17.82982 0.30738 -67.85640  -0.068258 0.000000 0.000000  0.068258  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.86099 0.30738 -69.28030  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  9  rooms::mirUV  0.000 1 1
17.80511 0.30738 -70.83710  -0.092964 0.000000 0.000000  0.092964  0.00 0.00  7  rooms::mirUV  0.000 1 1
17.86099 0.30738 -72.40656  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.82982 0.30738 -73.85577  -0.068258 0.000000 0.000000  0.068258  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.86805 1.68156 -67.79945  -0.030024 0.000000 0.000000  0.030024  0.00 0.00  9  rooms::mirUV  0.000 1 1
17.82982 1.68156 -67.85640  -0.068258 0.000000 0.000000  0.068258  0.00 0.00  7  rooms::mirUV  0.000 1 1
17.87541 1.68156 -67.90703  -0.022671 -0.000001 0.000000  0.022671  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.81276 1.68156 -69.34359  -0.085318 -0.000003 0.000000  0.085318  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.89688 1.68156 -70.78014  -0.001200 0.000000 0.000000  0.001200  0.03 0.00  12  rooms::mirUV  0.000 1 1
17.88011 1.68156 -70.93203  -0.017965 0.000000 0.000000  0.017965  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.87217 1.68156 -72.29897  -0.025906 0.000000 0.000000  0.025906  0.02 0.00  11  rooms::mirUV  0.000 1 1
17.82923 1.68156 -72.35593  -0.068848 0.000000 0.000000  0.068848  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.87864 1.68156 -72.40656  -0.019436 0.000000 0.000000  0.019436  0.00 0.00  7  rooms::mirUV  0.000 1 1
17.86805 1.68156 -73.80515  -0.030024 -0.000001 0.000000  0.030024  0.03 0.00  9  rooms::mirUV  0.000 1 1
17.79393 1.74484 -67.08433  -0.104141 -0.000003 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74485 -67.79945  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.79393 1.74485 -68.49557  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.79393 1.74485 -68.58418  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74488 -69.28030  -0.104141 0.000034 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.79393 1.74482 -69.34359  -0.104141 -0.000027 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1
17.79393 1.74485 -69.40687  -0.104141 0.000003 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1
17.79394 1.74484 -70.05238  -0.104141 -0.000003 0.000000  0.104141  0.04 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74488 -70.78014  -0.104141 0.000037 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74480 -70.83711  -0.104141 -0.000048 -0.000008  0.104141  0.05 0.02  6  rooms::mirUV  0.000 1 1
17.79393 1.74485 -70.93203  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1
17.79394 1.74484 -71.63449  -0.104141 -0.000006 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74485 -72.91284  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74485 -72.96979  -0.104141 0.000000 0.000000  0.104141  0.02 0.00  6  rooms::mirUV  0.000 1 1
17.79393 1.74485 -73.85577  -0.104141 0.000000 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74485 -74.58987  -0.104141 0.000003 0.000000  0.104141  0.03 0.00  4  rooms::mirUV  0.000 1 1
17.79393 1.74485 -75.34296  -0.104141 0.000003 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1
24.05340 0.00670 -75.90513  0.000000 0.006696 0.007393  0.009974  42.17 42.17  2  rooms  0.000 1 1
22.56164 0.00495 -75.90672  0.000000 0.004954 0.005798  0.007627  40.51 40.51  2  rooms  0.000 1 1
22.51985 -0.00593 -75.91946  0.000000 -0.005928 -0.006943  0.009129  40.49 40.49  2  rooms  0.000 1 1
21.04442 0.00018 -75.91230  0.000000 0.000177 0.000221  0.000284  38.70 38.70  2  rooms  0.000 1 1
19.56754 0.00405 -75.90722  0.000000 0.004049 0.005302  0.006671  37.36 37.36  2  rooms  0.000 1 1
24.68738 0.00104 -75.91140  0.000000 0.001040 0.001122  0.001529  42.83 42.83  2  rooms  0.000 1 1
23.23019 0.00097 -75.91142  0.000000 0.000969 0.001106  0.001471  41.21 41.21  2  rooms  0.000 1 1
23.18841 0.00100 -75.91138  0.000000 0.001005 0.001144  0.001523  41.28 41.28  2  rooms  0.000 1 1
20.21593 0.00069 -75.91164  0.000000 0.000688 0.000877  0.001115  38.10 38.10  2  rooms  0.000 1 1
24.39152 0.00812 -75.90367  0.000000 0.008118 0.008850  0.012009  42.53 42.53  2  rooms  0.000 1 1
25.06776 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
23.52269 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
22.04725 0.00065 -75.91175  0.000000 0.000646 0.000771  0.001005  39.96 39.96  2  rooms  0.000 1 1
20.56173 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
25.73728 0.00428 -75.90809  0.000000 0.004284 0.004433  0.006164  44.02 44.02  2  rooms  0.000 1 1
24.22246 0.00751 -75.90428  0.000000 0.007512 0.008240  0.011150  42.36 42.36  2  rooms  0.000 1 1
21.25334 0.00927 -75.90113  0.000000 0.009267 0.011391  0.014684  39.13 39.13  2  rooms  0.000 1 1
19.74045 0.00376 -75.90764  0.000000 0.003756 0.004883  0.006160  37.57 37.57  2  rooms  0.000 1 1
24.85644 0.00922 -75.90265  0.000000 0.009218 0.009872  0.013507  43.04 43.04  2  rooms  0.000 1 1
21.92190 0.00102 -75.91130  0.000000 0.001017 0.001221  0.001589  39.79 39.79  2  rooms  0.000 1 1
21.88011 0.00048 -75.91195  0.000000 0.000479 0.000572  0.000746  39.93 39.93  2  rooms  0.000 1 1
20.43206 0.00604 -75.90486  0.000000 0.006041 0.007660  0.009755  38.26 38.26  2  rooms  0.000 1 1
24.51832 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
23.06305 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
21.58762 0.00821 -75.90256  0.000000 0.008209 0.009964  0.012910  39.48 39.48  2  rooms  0.000 1 1
21.54584 0.00821 -75.90254  0.000000 0.008212 0.009979  0.012924  39.45 39.45  2  rooms  0.000 1 1
20.04303 0.00144 -75.91067  0.000000 0.001439 0.001854  0.002347  37.82 37.82  2  rooms  0.000 1 1
23.73161 0.00022 -75.91228  0.000000 0.000215 0.000244  0.000325  41.38 41.38  2  rooms  0.000 1 1
23.68983 0.00047 -75.91199  0.000000 0.000474 0.000534  0.000714  41.56 41.56  2  rooms  0.000 1 1
22.25618 -0.00041 -75.91301  0.000000 -0.000413 -0.000488  0.000640  40.22 40.22  2  rooms  0.000 1 1
25.64987 0.00458 -75.90776  0.000000 0.004585 0.004761  0.006609  43.92 43.92  2  rooms  0.000 1 1
25.60616 0.00448 -75.90787  0.000000 0.004479 0.004654  0.006459  43.90 43.90  2  rooms  0.000 1 1
19.65400 0.00396 -75.90736  0.000000 0.003956 0.005165  0.006506  37.45 37.45  2  rooms  0.000 1 1
19.61077 0.00393 -75.90739  0.000000 0.003926 0.005135  0.006463  37.40 37.40  2  rooms  0.000 1 1
20.34561 0.00077 -75.91154  0.000000 0.000771 0.000977  0.001244  38.28 38.28  2  rooms  0.000 1 1
24.47605 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
21.46227 0.00737 -75.90353  0.000000 0.007373 0.008987  0.011625  39.36 39.36  2  rooms  0.000 1 1
25.11003 0.00060 -75.91188  0.000000 0.000605 0.000641  0.000881  43.33 43.33  2  rooms  0.000 1 1
23.64804 0.00049 -75.91197  0.000000 0.000489 0.000549  0.000735  41.65 41.65  2  rooms  0.000 1 1
23.60626 0.00049 -75.91197  0.000000 0.000488 0.000549  0.000735  41.63 41.63  2  rooms  0.000 1 1
22.13082 -0.00040 -75.91300  0.000000 -0.000402 -0.000481  0.000627  39.94 39.94  2  rooms  0.000 1 1
25.82469 0.00429 -75.90810  0.000000 0.004291 0.004425  0.006164  44.12 44.12  2  rooms  0.000 1 1
24.30699 0.00791 -75.90387  0.000000 0.007908 0.008652  0.011721  42.43 42.43  2  rooms  0.000 1 1
22.81235 0.00883 -75.90230  0.000000 0.008827 0.010223  0.013506  40.81 40.81  2  rooms  0.000 1 1
22.77056 0.00951 -75.90148  0.000000 0.009514 0.011040  0.014574  40.76 40.76  2  rooms  0.000 1 1
21.29513 0.00911 -75.90134  0.000000 0.009114 0.011185  0.014428  39.18 39.18  2  rooms  0.000 1 1
19.78367 0.00188 -75.91008  0.000000 0.001880 0.002441  0.003081  37.60 37.60  2  rooms  0.000 1 1
24.98323 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
24.94097 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
23.48090 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
23.43912 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
21.96368 0.00045 -75.91199  0.000000 0.000448 0.000534  0.000697  39.98 39.98  2  rooms  0.000 1 1
20.47528 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
23.14662 0.00100 -75.91138  0.000000 0.000999 0.001144  0.001519  41.12 41.12  2  rooms  0.000 1 1
23.10484 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
25.37302 -0.02087 -75.95550  -0.003899 -0.040868 -0.042976  0.059434  43.69 43.69  2  rooms  0.000 1 1
23.96398 0.01645 -75.91646  -0.000454 -0.003546 -0.003937  0.005317  42.24 42.24  2  rooms  0.000 1 1
22.47022 0.00824 -75.92635  -0.001934 -0.011763 -0.013832  0.018260  40.76 40.76  2  rooms  0.000 1 1
25.42894 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1
24.61437 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1
23.86129 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1
23.75370 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1
22.98525 1.74486 -76.01665  0.000000 0.000013 -0.104141  0.104141  0.09 0.00  5  rooms  0.000 1 1
22.29364 1.74485 -76.01665  0.000002 0.000000 -0.104141  0.104141  0.17 0.00  4  rooms  0.000 1 1
21.58666 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  6  rooms  0.000 1 1
20.86430 1.74499 -76.01667  -0.000013 0.000141 -0.104141  0.104141  0.25 0.00  5  rooms  0.000 1 1
20.80284 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.08 0.00  5  rooms  0.000 1 1
19.37354 1.74444 -76.01665  0.000034 -0.000406 -0.104141  0.104142  0.32 0.02  5  rooms  0.000 1 1
18.51285 1.74485 -76.01666  0.000013 0.000000 -0.104141  0.104141  0.07 0.00  6  rooms  0.000 1 1
17.90846 1.69391 -76.00105  -0.020350 -0.050940 -0.088524  0.104141  31.78 31.78  5  rooms  0.000 1 1
24.61437 1.68156 -75.91372  0.000000 0.000000 -0.001198  0.001198  0.00 0.00  12  rooms  0.000 1 1
24.55290 1.68156 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  4  rooms  0.000 1 1
24.50679 1.68156 -76.00666  0.000000 0.000000 -0.094139  0.094139  0.00 0.00  7  rooms  0.000 1 1
24.46068 1.68156 -75.93049  0.000000 0.000000 -0.017967  0.017967  0.00 0.00  5  rooms  0.000 1 1
23.03136 1.68156 -75.98137  0.000000 0.000000 -0.068848  0.068848  0.00 0.00  5  rooms  0.000 1 1
21.52517 1.68156 -75.98078  -0.000011 0.000000 -0.068260  0.068260  0.00 0.00  7  rooms  0.000 1 1
20.11123 1.68156 -75.92990  0.000000 0.000000 -0.017380  0.017380  0.18 0.00  12  rooms  0.000 1 1
18.54358 1.68156 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  5  rooms  0.000 1 1
18.51285 1.68156 -76.00666  0.000011 0.000000 -0.094139  0.094139  0.00 0.00  5  rooms  0.000 1 1
24.46068 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  5  rooms  0.000 1 1
23.07746 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  9  rooms  0.000 1 1
23.03136 0.30738 -75.98137  0.000000 0.000000 -0.068848  0.068848  0.00 0.00  8  rooms  0.000 1 1
22.98525 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  4  rooms  0.000 1 1
21.58666 0.30738 -75.94961  -0.000004 0.000000 -0.037079  0.037079  0.10 0.00  11  rooms  0.000 1 1
20.11123 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.11 0.00  8  rooms  0.000 1 1
19.97290 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  6  rooms  0.000 1 1
18.54358 0.30738 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  7  rooms  0.000 1 1
18.45136 0.30738 -75.94961  0.000000 -0.000005 -0.037079  0.037079  0.00 0.00  5  rooms  0.000 1 1
17.89177 0.28657 -75.94256  -0.006308 -0.020811 -0.030037  0.037082  80.21 35.90  8  rooms  0.000 2 1
25.38283 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1
24.55290 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1
23.87666 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1
23.07746 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1
22.98525 0.25316 -76.01254  -0.000002 0.000017 -0.100021  0.100021  0.04 0.00  6  rooms  0.000 1 1
22.41659 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.10 0.00  4  rooms  0.000 1 1
21.58665 0.25330 -76.01255  -0.000013 0.000160 -0.100021  0.100021  0.10 0.00  5  rooms  0.000 1 1
21.52518 0.25316 -76.01254  0.000000 0.000017 -0.100021  0.100021  0.08 0.00  6  rooms  0.000 1 1
21.47908 0.25314 -76.01254  0.000002 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1
20.11123 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1
19.97291 0.25312 -76.01254  0.000002 -0.000017 -0.100021  0.100021  0.00 0.00  5  rooms  0.000 1 1
17.97492 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  4  rooms  0.000 1 1
25.47504 -0.01404 -75.92721  0.000000 -0.014043 -0.014687  0.020320  43.72 43.72  3  rooms  0.000 1 1
25.41357 0.20793 -75.99431  0.000000 0.000000 -0.081787  0.081787  0.00 0.00  7  rooms  0.000 1 1
25.38283 0.20793 -75.97195  0.000000 0.000000 -0.059433  0.059433  0.00 0.00  4  rooms  0.000 1 1
25.32117 0.01817 -75.91445  -0.000177 -0.001834 -0.001930  0.002669  43.67 43.67  5  rooms  0.000 1 1
