# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created weld
17.88011 1.68156 -70.93203  -0.017965 0.000000 0.000000  0.017965  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.87217 1.68156 -72.29897  -0.025906 0.000000 0.000000  0.025906  0.02 0.00  11  rooms::mirUV  0.000 1 1 0
17.82923 1.68156 -72.35593  -0.068848 0.000000 0.000000  0.068848  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.87864 1.68156 -72.40656  -0.019436 0.000000 0.000000  0.019436  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86805 1.68156 -73.80515  -0.030024 -0.000001 0.000000  0.030024  0.03 0.00  9  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -66.91346  -0.104141 0.000003 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74484 -67.08433  -0.104141 -0.000003 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -67.79945  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -67.85641  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -68.49557  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -68.58418  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74488 -69.28030  -0.104141 0.000034 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 1.74482 -69.34359  -0.104141 -0.000027 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -69.40687  -0.104141 0.000003 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -69.95744  -0.104141 0.000003 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
17.79394 1.74484 -70.05238  -0.104141 -0.000003 0.000000  0.104141  0.04 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74484 -70.10933  -0.104141 -0.000003 0.000000  0.104141  0.02 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74488 -70.78014  -0.104141 0.000037 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74480 -70.83711  -0.104141 -0.000048 -0.000008  0.104141  0.05 0.02  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -70.93203  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79394 1.74484 -71.63449  -0.104141 -0.000006 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -72.91284  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -72.96979  -0.104141 0.000000 0.000000  0.104141  0.02 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74481 -73.80515  -0.104141 -0.000036 -0.000008  0.104141  0.02 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -73.85577  -0.104141 0.000000 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -73.90640  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -74.58987  -0.104141 0.000003 0.000000  0.104141  0.03 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -75.34296  -0.104141 0.000003 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
17.86099 1.80813 -66.91346  -0.037083 0.000000 0.000000  0.037083  0.03 0.00  8  rooms::mirUV  0.000 1 1 0
17.86099 1.80813 -71.45729  -0.037083 0.000000 0.000000  0.037083  0.03 0.00  9  rooms::mirUV  0.000 1 1 0
17.86099 1.80813 -72.91283  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
23.92276 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  9  rooms  0.000 1 1 0
20.95653 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.09 0.00  7  rooms  0.000 1 1 0
