# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created weld
49.47578 9.26667 -55.08860  0.101788 0.000000 0.000000  0.101788  0.09 0.00  5  rooms  0.000 1 1 0
49.41255 9.32995 -49.89233  0.038551 0.000000 0.000000  0.038551  0.00 0.00  7  rooms  0.000 1 1 0
49.45255 9.32995 -49.95711  0.078552 0.000000 0.000011  0.078552  0.00 0.00  7  rooms  0.000 1 1 0
49.47579 3.27272 -60.42739  0.101788 0.000000 0.000000  0.101788  0.00 0.00  5  rooms  0.000 1 1 0
49.41255 9.32995 -51.39549  0.038551 0.000000 0.000000  0.038551  0.00 0.00  9  rooms  0.000 1 1 0
47.92931 15.20637 -75.92284  0.000000 0.000000 -0.010315  0.010315  0.00 0.00  11  rooms  0.000 1 1 0
-10.61975 12.25671 -37.13052  0.000000 0.000000 -0.100025  0.100025  0.00 0.00  5  rooms  0.000 1 1 0
49.44520 9.32995 -51.46028  0.071201 0.000000 0.000000  0.071201  0.00 0.00  6  rooms  0.000 1 1 0
49.41255 9.32995 -52.89864  0.038551 0.000000 0.000004  0.038551  0.08 0.00  8  rooms  0.000 1 1 0
46.46924 0.25314 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
49.44108 9.32995 -54.42773  0.067081 0.000000 -0.000004  0.067081  0.00 0.00  6  rooms  0.000 1 1 0
49.45373 9.32995 -54.49251  0.079731 0.000000 0.000008  0.079731  0.00 0.00  5  rooms  0.000 1 1 0
49.41255 9.32995 -55.89201  0.038551 0.000000 0.000000  0.038551  0.09 0.00  9  rooms  0.000 1 1 0
49.41255 9.32995 -54.54435  0.038551 0.000000 0.000000  0.038551  0.00 0.00  8  rooms  0.000 1 1 0
-12.38411 10.81262 -16.06614  -0.040612 0.000000 0.000000  0.040612  0.00 0.00  10  rooms::mirUV  0.000 1 1 0
49.45255 10.67700 -49.95711  0.078552 -0.000004 0.000011  0.078552  0.00 0.00  5  rooms  0.000 1 1 0
49.38962 10.67701 -51.39549  0.015614 0.000001 0.000000  0.015614  0.04 0.00  11  rooms  0.000 1 1 0
49.38049 10.67701 -51.52507  0.006493 0.000000 0.000000  0.006493  0.00 0.00  5  rooms  0.000 1 1 0
49.39314 10.67701 -52.89865  0.019142 -0.000001 0.000000  0.019142  0.03 0.00  12  rooms  0.000 1 1 0
-0.15670 -0.00361 -40.01980  0.000000 -0.003614 0.000000  0.003614  0.00 0.00  11  floor::mirUV  1.000 1 1 0
49.44108 10.67700 -54.42772  0.067081 -0.000004 0.000004  0.067081  0.00 0.00  6  rooms  0.000 1 1 0
49.50520 10.74933 -49.95712  0.131199 0.000000 0.000000  0.131199  0.00 0.00  5  rooms  0.000 1 1 0
49.50520 10.74933 -49.98304  0.131199 0.000000 0.000000  0.131199  0.00 0.00  5  rooms  0.000 1 1 0
49.50520 10.74932 -50.51433  0.131199 -0.000016 0.000000  0.131199  0.06 0.00  6  rooms  0.000 1 1 0
49.50520 10.74933 -51.52507  0.131199 0.000000 0.000000  0.131199  0.00 0.00  6  rooms  0.000 1 1 0
49.50520 10.74932 -52.06932  0.131199 -0.000008 0.000000  0.131199  0.04 0.00  4  rooms  0.000 1 1 0
49.47579 9.26667 -66.37524  0.101788 0.000000 0.000000  0.101788  0.00 0.00  4  rooms  0.000 1 1 0
2.49522 -0.03391 -34.99937  0.000000 -0.033908 0.000000  0.033908  0.00 0.00  7  floor::mirUV  1.000 1 1 0
37.32462 16.80657 -49.33339  0.000000 0.000000 0.040611  0.040611  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
49.50520 10.74933 -52.95049  0.131199 0.000000 0.000000  0.131199  0.00 0.00  6  rooms  0.000 1 1 0
49.50520 10.74933 -53.41698  0.131199 0.000000 0.000000  0.131199  0.00 0.00  5  rooms  0.000 1 1 0
49.50520 10.74934 -53.50769  0.131199 0.000008 0.000000  0.131199  0.07 0.00  5  rooms  0.000 1 1 0
49.50520 10.74933 -54.37589  0.131199 0.000000 0.000000  0.131199  0.00 0.00  5  rooms  0.000 1 1 0
49.50520 10.74932 -54.90717  0.131199 -0.000008 0.000008  0.131199  0.04 0.00  4  rooms  0.000 1 1 0
49.50520 10.74933 -54.97197  0.131199 0.000000 0.000000  0.131199  0.05 0.00  5  rooms  0.000 1 1 0
-1.02340 12.34350 -5.55457  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
49.41461 10.81262 -54.90718  0.040611 0.000000 0.000000  0.040611  0.03 0.00  10  rooms  0.000 1 1 0
12.44764 1.74783 -16.05348  0.104141 -0.000027 -0.000002  0.104141  0.02 0.00  4  rooms  0.000 1 1 0
49.36627 9.22273 -49.32839  0.038376 0.019348 0.045612  0.062670  43.30 43.30  7  rooms::mirUV  0.000 1 1 0
46.36166 9.20338 -49.32368  0.000000 0.000000 0.050320  0.050320  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
46.30018 9.20338 -49.36986  0.000000 0.000000 0.004143  0.004143  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
43.36468 9.20338 -49.32692  0.000000 0.000000 0.047081  0.047081  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
41.81240 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -72.29897  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
41.75092 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-2.54843 4.68185 -60.49231  -0.079730 0.000000 0.000000  0.079730  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
5.07208 1.74545 -43.09105  -0.104061 -0.000000 -0.004101  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
48.48259 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
47.40571 0.00292 -70.93597  -0.001045 0.002917 0.000572  0.003151  22.22 22.22  6  floor::mirUV  1.000 1 1 0
0.15912 -0.02214 -54.12070  0.000000 -0.022143 0.000000  0.022143  0.00 0.00  5  floor::mirUV  1.000 1 1 0
1.20542 -0.01038 -9.92754  0.000000 -0.010379 0.000000  0.010379  0.00 0.00  6  floor::mirUV  1.000 1 1 0
47.92931 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
47.00716 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
-12.32411 2.48068 -22.19035  0.019388 0.011982 0.000000  0.022792  31.72 31.72  2  rooms::mirUV  0.894 1 1 1
5.97888 -0.00420 -23.91252  0.000000 -0.004202 0.000000  0.004202  0.00 0.00  13  floor::mirUV  1.000 1 1 0
0.61717 8.33186 -37.01346  0.000000 0.000000 0.017036  0.017036  0.00 0.00  6  rooms  0.000 1 1 0
46.89957 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-5.54674 6.25613 -5.45455  0.000000 -0.000001 0.100024  0.100024  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
46.30018 9.26666 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
7.41574 10.81262 -5.47279  0.000000 0.000000 0.081789  0.081789  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
-8.66456 4.68306 -5.54102  0.000000 0.000000 0.013553  0.013553  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
45.42414 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
25.98222 4.74628 -49.24280  -0.000008 -0.000057 0.131199  0.131199  0.03 0.00  4  rooms::mirUV  0.000 1 1 0
44.85548 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-1.13309 -0.02273 -13.68664  0.000000 -0.022732 0.000000  0.022732  0.00 0.00  4  floor::mirUV  1.000 1 1 0
44.79401 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
43.42616 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-12.38058 0.30738 -33.27562  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
42.39643 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
12.44529 9.26968 -13.08544  0.101789 0.000000 0.000000  0.101789  0.00 0.00  5  rooms  0.000 1 1 0
42.33495 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
-9.86470 1.18975 -38.95917  0.010097 0.000000 0.000000  0.010097  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
41.91998 9.26667 -49.27221  0.000000 0.000000 0.101788  0.101788  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
49.47403 18.26210 -66.29749  0.100025 -0.000008 0.000008  0.100025  0.05 0.00  4  rooms  0.000 1 1 0
41.01321 9.32995 -49.33545  0.000000 0.000000 0.038551  0.038551  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
49.47815 13.74174 -75.27757  0.104141 -0.000049 -0.000008  0.104141  0.04 0.02  4  rooms  0.000 1 1 0
48.39038 9.32995 -49.30427  0.000000 0.000000 0.069729  0.069729  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
40.29086 1.74485 -49.26986  0.000000 0.000000 0.104141  0.104141  0.04 0.00  4  rooms::mirUV  0.000 1 1 0
12.34350 0.00000 -8.82639  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1 0
46.83810 9.32995 -49.33545  0.000000 0.000000 0.038551  0.038551  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
-4.89400 -0.02656 -32.58853  0.000000 -0.026555 0.000000  0.026555  0.00 0.00  6  floor::mirUV  1.000 1 1 0
12.34645 12.32215 -25.90452  0.002949 0.008789 -0.000046  0.009271  71.45 71.45  8  rooms  0.000 1 1 0
4.99708 3.33419 -39.52332  -0.038523 0.000000 -0.001518  0.038553  0.03 0.00  10  rooms::mirUV  0.000 1 1 0
45.48562 9.32995 -49.33545  0.000000 0.000000 0.038551  0.038551  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
45.39340 9.32995 -49.29839  0.000000 0.000000 0.075611  0.075611  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
12.34470 1.68156 -10.77555  0.001201 0.000000 0.000000  0.001201  0.00 0.00  8  rooms  0.000 1 1 0
43.85649 9.32995 -49.33545  0.000000 0.000000 0.038551  0.038551  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
7.50977 -0.02450 -6.16211  0.000000 -0.024496 0.000000  0.024496  0.00 0.00  5  floor::mirUV  1.000 1 1 0
42.48864 9.32995 -49.33545  0.000000 0.000000 0.038551  0.038551  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
12.44352 12.25912 -27.97177  0.100024 0.000000 0.000000  0.100024  0.00 0.00  4  rooms  0.000 1 1 0
48.48259 10.67701 -49.35486  0.000000 0.000000 0.019142  0.019142  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
48.43649 10.67701 -49.27810  0.000000 0.000000 0.095905  0.095905  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
24.39921 3.33600 -75.98225  0.000000 0.000000 -0.069733  0.069733  0.00 0.00  7  rooms  0.000 1 1 0
-2.40120 -0.02185 -40.15080  0.000000 -0.021849 0.000000  0.021849  0.00 0.00  6  floor::mirUV  1.000 1 1 0
45.39340 10.67701 -49.29839  0.000000 0.000000 0.075611  0.075611  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
45.33193 10.67701 -49.36045  0.000000 0.000000 0.013554  0.013554  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
-4.83561 3.26910 -51.45908  0.101789 0.000000 0.000000  0.101789  0.00 0.00  6  rooms  0.000 1 1 0
-2.54137 1.81054 -44.53351  -0.072671 0.000000 0.000000  0.072671  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
43.91797 10.67701 -49.30280  0.000000 0.000000 0.071201  0.071201  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
49.41108 0.30738 -58.93720  0.037083 0.000000 0.000000  0.037083  0.00 0.00  6  rooms  0.000 1 1 0
43.85649 10.67701 -49.36751  0.000000 0.000000 0.006493  0.006493  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
43.27246 15.20637 -75.91666  0.000000 0.000000 -0.004143  0.004143  0.00 0.00  5  rooms  0.000 1 1 0
49.46814 6.31037 -52.87272  0.094143 0.000000 0.000008  0.094143  0.00 0.00  7  rooms  0.000 1 1 0
42.48864 10.67701 -49.35486  0.000000 0.000000 0.019142  0.019142  0.00 0.00  12  rooms::mirUV  0.000 1 1 0
42.42717 10.67701 -49.27810  0.000000 0.000000 0.095905  0.095905  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
12.40294 12.20488 -28.00793  0.059436 0.000000 0.000000  0.059436  0.00 0.00  6  rooms  0.000 1 1 0
42.33495 10.67701 -49.35868  0.000000 0.000000 0.015316  0.015316  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-7.53387 -0.01508 -7.42780  0.000000 -0.015085 0.000000  0.015085  0.00 0.00  5  floor::mirUV  1.000 1 1 0
41.01321 10.67701 -49.36074  0.000000 0.000000 0.013260  0.013260  0.00 0.00  11  rooms::mirUV  0.000 1 1 0
49.36511 10.78032 -49.32975  0.037216 0.030986 0.044250  0.065599  47.58 47.58  5  rooms::mirUV  0.000 1 1 0
30.42389 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
12.44353 6.25615 -15.40798  0.100024 0.000025 0.000002  0.100024  0.00 0.00  4  rooms  0.000 1 1 0
48.48259 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
39.33797 4.68306 -49.36045  0.000000 0.000000 0.013554  0.013554  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
48.39038 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-11.39423 1.68156 -5.55337  0.000000 0.000000 0.001200  0.001200  0.00 0.00  12  rooms::mirUV  0.000 1 1 0
47.88319 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-8.57054 -0.01391 -21.37511  0.000000 -0.013908 0.000000  0.013908  0.00 0.00  8  floor::mirUV  1.000 1 1 0
46.40776 12.20488 -49.30045  0.000000 0.000000 0.073555  0.073555  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
47.00716 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-7.58209 -0.02450 -6.16211  0.000000 -0.024496 0.000000  0.024496  0.00 0.00  5  floor::mirUV  1.000 1 1 0
46.83810 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-4.62881 0.00080 -11.02869  0.000000 0.000798 0.000000  0.000798  0.00 0.00  7  floor::mirUV  1.000 1 1 0
46.46924 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
30.39316 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
46.40776 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
45.48561 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-7.38922 -0.01979 -34.99937  0.000000 -0.019790 0.000000  0.019790  0.00 0.00  7  floor::mirUV  1.000 1 1 0
33.48233 10.74925 -49.24280  -0.000011 -0.000084 0.131199  0.131199  0.04 0.00  5  rooms::mirUV  0.000 1 1 0
45.42414 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
45.39340 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-8.59464 -0.02214 -23.77992  0.000000 -0.022143 0.000000  0.022143  0.00 0.00  6  floor::mirUV  1.000 1 1 0
-2.71220 -0.02214 -8.69349  0.000000 -0.022143 0.000000  0.022143  0.00 0.00  4  floor::mirUV  1.000 1 1 0
44.99380 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
46.40775 18.26210 -76.01255  -0.000011 -0.000013 -0.100021  0.100021  0.15 0.00  4  rooms  0.000 1 1 0
2.56872 0.25796 -60.30176  0.100024 0.000000 0.000000  0.100024  0.00 0.00  5  rooms  0.000 1 1 0
43.91797 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
49.39314 16.68000 -70.89767  0.019142 0.000000 0.000000  0.019142  0.16 0.00  12  rooms  0.000 1 1 0
43.31857 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
46.46924 18.20787 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1 0
42.42716 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
42.39643 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
49.41108 13.81411 -73.08762  0.037083 0.000000 0.000000  0.037083  0.00 0.00  7  rooms  0.000 1 1 0
-12.34350 12.34350 -12.40829  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  rooms::mirUV  0.000 1 1 0
41.87388 10.74933 -49.24280  0.000000 0.000000 0.131199  0.131199  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
49.45932 7.68455 -57.34333  0.085320 0.000000 0.000000  0.085320  0.00 0.00  6  rooms  0.000 1 1 0
43.47226 10.81262 -49.33339  0.000000 0.000000 0.040611  0.040611  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
24.42994 10.67701 -76.00843  0.000000 0.000000 -0.095909  0.095909  0.00 0.00  5  rooms  0.000 1 1 0
17.85746 10.81262 -49.37400  -0.040611 0.000000 0.000000  0.040611  90.00 0.00  10  rooms::mirUV  0.000 2 1 0
49.47579 9.26667 -61.99535  0.101788 0.000000 0.000000  0.101788  0.00 0.00  5  rooms  0.000 1 1 0
17.86746 12.20488 -56.38593  -0.030611 0.000000 0.000000  0.030611  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 13.74179 -55.02742  -0.104141 0.000000 0.000000  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 13.74179 -54.90929  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 13.74179 -52.83777  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-12.11326 -0.00479 -54.22371  0.000000 -0.004790 0.000000  0.004790  0.00 0.00  7  floor::mirUV  1.000 1 1 0
17.79393 13.74179 -52.01508  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-5.66065 4.68306 -5.53926  0.000000 0.000000 0.015318  0.015318  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-12.44764 7.74603 -22.83668  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 13.74179 -51.27676  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79394 13.74175 -50.58907  -0.104141 -0.000036 -0.000004  0.104141  0.02 0.00  6  rooms::mirUV  0.000 1 1 0
17.79393 13.74178 -50.53000  -0.104141 -0.000003 0.000000  0.104141  0.02 0.00  4  rooms::mirUV  0.000 1 1 0
17.79393 13.74178 -50.49203  -0.104141 -0.000003 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
33.58993 7.68455 -75.94254  0.000000 0.000000 -0.030022  0.030022  0.00 0.00  9  rooms  0.000 1 1 0
12.53548 3.26849 -24.70481  0.045523 -0.000005 -0.091042  0.101788  0.00 0.00  5  rooms  0.000 1 1 0
17.79393 13.74178 -49.90560  -0.104141 -0.000003 -0.000008  0.104141  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
34.48134 18.26211 -76.01254  0.000000 0.000000 -0.100021  0.100021  0.00 0.00  6  rooms  0.000 1 1 0
49.37400 18.51525 -75.34236  0.000000 0.000000 0.000000  0.000000  0.00 0.00  3  rooms  0.000 1 1 0
3.06524 6.23064 2.07527  -0.005794 -0.002827 0.000000  0.006447  0.03 0.00  8  rooms  0.439 1 1 0
17.82923 13.67850 -54.35661  -0.068848 0.000000 0.000000  0.068848  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79393 1.74485 -51.34426  -0.104141 0.000000 0.000000  0.104141  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.87217 13.67850 -54.30175  -0.025906 0.000000 0.000000  0.025906  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-2.46870 4.93740 -53.46568  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms::mirUV  0.000 1 1 0
17.80393 13.67850 -52.87152  -0.094141 0.000000 0.000000  0.094141  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
-12.17474 -0.00714 -34.99937  0.000000 -0.007143 0.000000  0.007143  0.00 0.00  5  floor::mirUV  1.000 1 1 0
17.80511 13.67850 -52.83778  -0.092964 0.000000 0.000000  0.092964  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
12.32472 5.07067 -24.67539  -0.018783 0.000000 0.011608  0.022080  31.72 31.72  2  rooms  0.000 1 1 1
17.87746 13.67850 -51.40754  -0.020613 0.000000 0.000000  0.020613  0.00 0.00  9  rooms::mirUV  0.000 1 1 0
10.99343 -0.01979 -6.29500  0.000000 -0.019790 0.000000  0.019790  0.00 0.00  6  floor::mirUV  1.000 1 1 0
17.88070 13.67850 -51.27676  -0.017376 0.000000 0.000000  0.017376  0.00 0.00  7  rooms::mirUV  0.000 1 1 0
17.86805 13.67850 -49.80012  -0.030024 0.000000 0.000000  0.030024  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-0.71219 -0.02448 -21.24251  -0.000992 -0.024476 0.000000  0.024496  2.32 2.32  5  floor::mirUV  1.000 1 1 0
17.86099 12.31336 -55.80371  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
12.34361 1.68156 -5.55446  0.000113 0.000000 0.000113  0.000159  45.00 45.00  12  rooms  0.000 2 1 0
17.86099 12.31336 -54.40723  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
17.86099 12.31336 -51.40754  -0.037083 0.000000 0.000000  0.037083  0.00 0.00  10  rooms::mirUV  0.000 1 1 0
-0.13019 -0.00979 -2.40240  0.000000 -0.009790 0.000000  0.009790  0.00 0.00  4  floor::mirUV  1.000 1 1 0
17.79805 12.25912 -55.90919  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -54.97679  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -54.90929  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
2.56461 3.33419 -46.95115  0.095906 0.000000 0.000000  0.095906  0.00 0.00  6  rooms  0.000 1 1 0
-9.96882 -0.01273 -12.42095  0.000000 -0.012732 0.000000  0.012732  0.00 0.00  4  floor::mirUV  1.000 1 1 0
17.79805 12.25912 -54.40723  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-4.74936 -0.00038 -12.52853  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  8  floor::mirUV  1.000 1 1 0
-8.60549 3.26668 -5.45279  0.000001 -0.000005 0.101789  0.101789  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -54.35661  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
21.47907 1.68156 -49.35133  0.000000 -0.000001 0.022671  0.022671  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
-2.53843 4.68185 -46.98689  -0.069730 0.000000 0.000000  0.069730  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -53.50437  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -53.47062  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -53.41155  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -52.77871  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
17.76687 10.74933 -69.97010  -0.131201 0.000000 0.000000  0.131201  0.00 0.00  5  rooms::mirUV  0.000 1 1 0
11.91566 4.74695 -60.12426  -0.058410 0.000005 -0.117481  0.131200  0.04 0.00  4  rooms  0.000 1 1 0
8.34151 -0.00626 -21.10992  0.000000 -0.006261 0.000000  0.006261  0.00 0.00  7  floor::mirUV  1.000 1 1 0
17.79805 12.25912 -51.90960  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -51.34426  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -50.51734  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  6  rooms::mirUV  0.000 1 1 0
43.33394 13.81411 -49.31133  0.000000 0.000000 0.062672  0.062672  0.00 0.00  8  rooms::mirUV  0.000 1 1 0
17.79805 12.25912 -50.45406  -0.100023 0.000000 0.000000  0.100023  0.00 0.00  4  rooms::mirUV  0.000 1 1 0
17.79805 12.25908 -49.90559  -0.100023 -0.000037 -0.000004  0.100023  0.02 0.00  5  rooms::mirUV  0.000 1 1 0
49.41108 6.31037 -64.93687  0.037083 0.000000 0.000000  0.037083  0.00 0.00  6  rooms  0.000 1 1 0
12.36217 2.47475 -20.56584  0.000779 -0.002891 -0.000004  0.002994  11.48 11.48  2  rooms::mirUV  0.894 1 1 0
17.82735 12.25912 -49.30327  -0.070728 0.000000 0.070728  0.100025  45.00 44.99  5  rooms::mirUV  0.000 2 1 0
32.89832 9.26655 -49.27221  -0.000008 -0.000114 0.101788  0.101788  0.07 0.02  5  rooms::mirUV  0.000 1 1 0
12.44529 3.26669 -28.01396  0.101789 0.000000 0.000000  0.101789  0.00 0.00  5  rooms  0.000 1 1 0
17.85746 10.81262 -55.04008  -0.040611 0.000000 0.000000  0.040611  0.00 0.00  10  rooms::mirUV  0.000 1 1 0
-5.36412 -0.00567 -18.51525  0.000000 -0.005673 0.000000  0.005673  0.00 0.00  5  floor::mirUV  1.000 1 1 0
