# mat  ax ay az  bx by bz  cx cy cz
floor::mirUV  3.66448 -0.02450 -21.24251  3.62831 -0.01391 -21.10991  3.62831 -0.02450 -21.24251
floor::mirUV  3.66448 -0.02450 -21.24251  3.77296 -0.00626 -21.10991  3.62831 -0.01391 -21.10991
floor::mirUV  3.62831 -0.02450 -21.24251  3.62831 -0.01391 -21.10991  3.56804 -0.02450 -21.24251
floor::mirUV  3.56804 -0.02450 -21.24251  3.62831 -0.01391 -21.10991  3.54393 -0.02450 -21.24251
floor::mirUV  3.54393 -0.02450 -21.24251  3.62831 -0.01391 -21.10991  3.54393 -0.00773 -21.10992
floor::mirUV  3.54393 -0.02450 -21.24251  3.54393 -0.00773 -21.10992  3.39928 -0.02450 -21.24251
floor::mirUV  3.39928 -0.02450 -21.24251  3.54393 -0.00773 -21.10992  3.39928 -0.00626 -21.10991
floor::mirUV  3.39928 -0.02450 -21.24251  3.39928 -0.00626 -21.10991  2.61576 -0.02450 -21.24251
floor::mirUV  2.61576 -0.02450 -21.24251  2.56754 -0.00626 -21.10992  2.56754 -0.02450 -21.24251
floor::mirUV  2.61576 -0.02450 -21.24251  3.39928 -0.00626 -21.10991  2.56754 -0.00626 -21.10992
floor::mirUV  2.56754 -0.02450 -21.24251  2.56754 -0.00626 -21.10992  2.47111 -0.03508 -21.24251
floor::mirUV  2.47111 -0.03508 -21.24251  2.43495 -0.01744 -21.10991  2.43495 -0.02450 -21.24251
floor::mirUV  2.47111 -0.03508 -21.24251  2.56754 -0.00626 -21.10992  2.43495 -0.01744 -21.10991
floor::mirUV  2.43495 -0.02450 -21.24251  2.43495 -0.01744 -21.10991  2.38673 -0.02508 -21.24251
floor::mirUV  2.38673 -0.02508 -21.24251  2.43495 -0.01744 -21.10991  2.30235 -0.02450 -21.24251
floor::mirUV  2.30235 -0.02450 -21.24251  2.43495 -0.01744 -21.10991  2.30235 -0.00626 -21.10992
floor::mirUV  2.30235 -0.02450 -21.24251  2.30235 -0.00626 -21.10992  2.24208 -0.02450 -21.24251
floor::mirUV  9.96882 -0.00626 -21.10991  9.96882 -0.00214 -20.07627  9.82417 -0.02832 -21.10992
floor::mirUV  9.82417 -0.02832 -21.10992  9.96882 -0.00214 -20.07627  9.82417 -0.02832 -20.07627
floor::mirUV  9.82417 -0.02832 -21.10992  9.69158 -0.00832 -20.07627  9.69158 -0.00832 -21.10991
floor::mirUV  9.82417 -0.02832 -21.10992  9.82417 -0.02832 -20.07627  9.69158 -0.00832 -20.07627
floor::mirUV  9.69158 -0.00832 -21.10991  9.54693 -0.00214 -20.07627  9.54693 -0.00626 -21.10992
floor::mirUV  9.69158 -0.00832 -21.10991  9.69158 -0.00832 -20.07627  9.54693 -0.00214 -20.07627
floor::mirUV  9.54693 -0.00626 -21.10992  9.54693 -0.00214 -20.07627  8.65491 -0.00626 -21.10991
floor::mirUV  8.65491 -0.00626 -21.10991  9.54693 -0.00214 -20.07627  8.65491 -0.00214 -20.07627
floor::mirUV  8.65491 -0.00626 -21.10991  8.65491 -0.00214 -20.07627  8.49821 -0.01038 -21.10992
floor::mirUV  8.49821 -0.01038 -21.10992  8.65491 -0.00214 -20.07627  8.49821 -0.01038 -20.07627
floor::mirUV  8.49821 -0.01038 -21.10992  8.49821 -0.01038 -20.07627  8.34151 -0.00626 -21.10992
floor::mirUV  8.34151 -0.00626 -21.10992  8.49821 -0.01038 -20.07627  8.34151 -0.00214 -20.07627
floor::mirUV  8.34151 -0.00626 -21.10992  7.67852 -0.00214 -20.07627  7.67853 -0.00626 -21.10991
floor::mirUV  8.34151 -0.00626 -21.10992  8.34151 -0.00214 -20.07627  7.67852 -0.00214 -20.07627
floor::mirUV  7.67853 -0.00626 -21.10991  7.53387 -0.00685 -20.07627  7.53387 -0.00685 -21.10991
floor::mirUV  7.67853 -0.00626 -21.10991  7.67852 -0.00214 -20.07627  7.53387 -0.00685 -20.07627
floor::mirUV  7.53387 -0.00685 -21.10991  7.53387 -0.00685 -20.07627  7.26868 -0.00920 -21.10991
floor::mirUV  7.26868 -0.00920 -21.10991  7.53387 -0.00685 -20.07627  7.26868 -0.00920 -20.07627
floor::mirUV  7.26868 -0.00920 -21.10991  7.26868 -0.00920 -20.07627  7.12403 -0.00626 -21.10992
floor::mirUV  7.12403 -0.00626 -21.10992  7.26868 -0.00920 -20.07627  7.12403 -0.00361 -20.07627
floor::mirUV  7.12403 -0.00626 -21.10992  7.12403 -0.00361 -20.07627  6.24407 -0.00626 -21.10992
floor::mirUV  6.24407 -0.00626 -21.10992  7.12403 -0.00361 -20.07627  6.24408 -0.00214 -20.07627
floor::mirUV  6.24407 -0.00626 -21.10992  6.24408 -0.00214 -20.07627  6.11148 -0.01391 -21.10991
floor::mirUV  6.11148 -0.01391 -21.10991  6.24408 -0.00214 -20.07627  6.11148 -0.01332 -20.07627
floor::mirUV  6.11148 -0.01391 -21.10991  5.97888 -0.00244 -20.07627  5.97888 -0.00626 -21.10991
floor::mirUV  6.11148 -0.01391 -21.10991  6.11148 -0.01332 -20.07627  5.97888 -0.00244 -20.07627
floor::mirUV  5.97888 -0.00626 -21.10991  5.08687 -0.00214 -20.07627  5.08687 -0.00626 -21.10991
floor::mirUV  5.97888 -0.00626 -21.10991  5.97888 -0.00244 -20.07627  5.08687 -0.00214 -20.07627
floor::mirUV  5.08687 -0.00626 -21.10991  5.08687 -0.00214 -20.07627  4.93017 -0.03156 -21.10992
floor::mirUV  4.93017 -0.03156 -21.10992  5.08687 -0.00214 -20.07627  4.93017 -0.03156 -20.07627
floor::mirUV  4.93017 -0.03156 -21.10992  4.93017 -0.03156 -20.07627  4.77346 -0.00626 -21.10992
floor::mirUV  4.77346 -0.00626 -21.10992  4.93017 -0.03156 -20.07627  4.77346 -0.00214 -20.07627
floor::mirUV  4.77346 -0.00626 -21.10992  4.77346 -0.00214 -20.07627  3.77296 -0.00626 -21.10991
floor::mirUV  3.77296 -0.00626 -21.10991  4.77346 -0.00214 -20.07627  3.77296 -0.00214 -20.07627
floor::mirUV  3.77296 -0.00626 -21.10991  3.77296 -0.00214 -20.07627  3.62831 -0.01391 -21.10991
floor::mirUV  3.62831 -0.01391 -21.10991  3.77296 -0.00214 -20.07627  3.62831 -0.01391 -20.07627
floor::mirUV  3.62831 -0.01391 -21.10991  3.62831 -0.01391 -20.07627  3.54393 -0.00773 -21.10992
floor::mirUV  3.54393 -0.00773 -21.10992  3.62831 -0.01391 -20.07627  3.54394 -0.00773 -20.07627
floor::mirUV  3.54393 -0.00773 -21.10992  3.39928 -0.00214 -20.07627  3.39928 -0.00626 -21.10991
floor::mirUV  3.54393 -0.00773 -21.10992  3.54394 -0.00773 -20.07627  3.39928 -0.00214 -20.07627
floor::mirUV  3.39928 -0.00626 -21.10991  2.56754 -0.00214 -20.07627  2.56754 -0.00626 -21.10992
floor::mirUV  3.39928 -0.00626 -21.10991  3.39928 -0.00214 -20.07627  2.56754 -0.00214 -20.07627
floor::mirUV  2.56754 -0.00626 -21.10992  2.43495 -0.01744 -20.07627  2.43495 -0.01744 -21.10991
floor::mirUV  2.56754 -0.00626 -21.10992  2.56754 -0.00214 -20.07627  2.43495 -0.01744 -20.07627
floor::mirUV  2.43495 -0.01744 -21.10991  2.30235 -0.00214 -20.07627  2.30235 -0.00626 -21.10992
floor::mirUV  2.43495 -0.01744 -21.10991  2.43495 -0.01744 -20.07627  2.30235 -0.00214 -20.07627
floor::mirUV  9.96882 -0.00214 -20.07627  10.00499 -0.01744 -19.97381  9.96882 -0.01744 -19.97381
floor::mirUV  9.96882 -0.00214 -20.07627  9.82417 -0.02832 -19.97381  9.82417 -0.02832 -20.07627
floor::mirUV  9.96882 -0.00214 -20.07627  9.96882 -0.01744 -19.97381  9.82417 -0.02832 -19.97381
floor::mirUV  9.82417 -0.02832 -20.07627  9.82417 -0.02832 -19.97381  9.73979 -0.02332 -19.97381
floor::mirUV  9.82417 -0.02832 -20.07627  9.69158 -0.01744 -19.97381  9.69158 -0.00832 -20.07627
floor::mirUV  9.82417 -0.02832 -20.07627  9.73979 -0.02332 -19.97381  9.69158 -0.01744 -19.97381
floor::mirUV  9.69158 -0.00832 -20.07627  9.69158 -0.01744 -19.97381  9.59514 -0.01744 -19.97381
floor::mirUV  9.69158 -0.00832 -20.07627  9.59514 -0.01744 -19.97381  9.54693 -0.00214 -20.07627
floor::mirUV  9.54693 -0.00214 -20.07627  9.59514 -0.01744 -19.97381  9.54692 -0.01744 -19.97381
floor::mirUV  9.54693 -0.00214 -20.07627  8.65492 -0.01744 -19.97381  8.65491 -0.00214 -20.07627
floor::mirUV  9.54693 -0.00214 -20.07627  9.54692 -0.01744 -19.97381  8.65492 -0.01744 -19.97381
floor::mirUV  8.65491 -0.00214 -20.07627  8.65492 -0.01744 -19.97381  8.54643 -0.01744 -19.97381
floor::mirUV  8.65491 -0.00214 -20.07627  8.54643 -0.01744 -19.97381  8.49821 -0.01038 -20.07627
floor::mirUV  8.49821 -0.01038 -20.07627  8.54643 -0.01744 -19.97381  8.49821 -0.01744 -19.97381
floor::mirUV  8.49821 -0.01038 -20.07627  8.49821 -0.01744 -19.97381  8.44999 -0.01744 -19.97381
floor::mirUV  8.49821 -0.01038 -20.07627  8.34151 -0.01744 -19.97381  8.34151 -0.00214 -20.07627
floor::mirUV  8.49821 -0.01038 -20.07627  8.44999 -0.01744 -19.97381  8.34151 -0.01744 -19.97381
floor::mirUV  8.34151 -0.00214 -20.07627  8.34151 -0.01744 -19.97381  7.67852 -0.00214 -20.07627
floor::mirUV  7.67852 -0.00214 -20.07627  8.34151 -0.01744 -19.97381  7.67853 -0.01744 -19.97381
floor::mirUV  7.67852 -0.00214 -20.07627  7.67853 -0.01744 -19.97381  7.53387 -0.00685 -20.07627
floor::mirUV  7.53387 -0.00685 -20.07627  7.67853 -0.01744 -19.97381  7.53387 -0.01744 -19.97381
floor::mirUV  7.53387 -0.00685 -20.07627  7.53387 -0.01744 -19.97381  7.44950 -0.01744 -19.97381
floor::mirUV  7.53387 -0.00685 -20.07627  7.44950 -0.01744 -19.97381  7.31690 -0.01979 -19.97381
floor::mirUV  7.53387 -0.00685 -20.07627  7.31690 -0.01979 -19.97381  7.26868 -0.00920 -20.07627
floor::mirUV  7.26868 -0.00920 -20.07627  7.31690 -0.01979 -19.97381  7.26868 -0.01744 -19.97381
floor::mirUV  7.26868 -0.00920 -20.07627  7.26868 -0.01744 -19.97381  7.18430 -0.01744 -19.97381
floor::mirUV  7.26868 -0.00920 -20.07627  7.18430 -0.01744 -19.97381  7.12403 -0.00361 -20.07627
floor::mirUV  7.12403 -0.00361 -20.07627  7.18430 -0.01744 -19.97381  7.12403 -0.01744 -19.97381
floor::mirUV  7.12403 -0.00361 -20.07627  6.24408 -0.01744 -19.97381  6.24408 -0.00214 -20.07627
floor::mirUV  7.12403 -0.00361 -20.07627  7.12403 -0.01744 -19.97381  6.24408 -0.01744 -19.97381
floor::mirUV  6.24408 -0.00214 -20.07627  6.11148 -0.01744 -19.97381  6.11148 -0.01332 -20.07627
floor::mirUV  6.24408 -0.00214 -20.07627  6.24408 -0.01744 -19.97381  6.11148 -0.01744 -19.97381
floor::mirUV  6.11148 -0.01332 -20.07627  5.97888 -0.01744 -19.97381  5.97888 -0.00244 -20.07627
floor::mirUV  6.11148 -0.01332 -20.07627  6.11148 -0.01744 -19.97381  5.97888 -0.01744 -19.97381
floor::mirUV  5.97888 -0.00244 -20.07627  5.08687 -0.01744 -19.97381  5.08687 -0.00214 -20.07627
floor::mirUV  5.97888 -0.00244 -20.07627  5.97888 -0.01744 -19.97381  5.08687 -0.01744 -19.97381
floor::mirUV  5.08687 -0.00214 -20.07627  4.93017 -0.03156 -19.97381  4.93017 -0.03156 -20.07627
floor::mirUV  5.08687 -0.00214 -20.07627  5.08687 -0.01744 -19.97381  4.93017 -0.03156 -19.97381
floor::mirUV  4.93017 -0.03156 -20.07627  4.77346 -0.01744 -19.97381  4.77346 -0.00214 -20.07627
floor::mirUV  4.93017 -0.03156 -20.07627  4.93017 -0.03156 -19.97381  4.77346 -0.01744 -19.97381
floor::mirUV  4.77346 -0.00214 -20.07627  3.77296 -0.01744 -19.97381  3.77296 -0.00214 -20.07627
floor::mirUV  4.77346 -0.00214 -20.07627  4.77346 -0.01744 -19.97381  3.77296 -0.01744 -19.97381
floor::mirUV  3.77296 -0.00214 -20.07627  3.77296 -0.01744 -19.97381  3.66448 -0.01744 -19.97381
floor::mirUV  3.77296 -0.00214 -20.07627  3.62831 -0.01744 -19.97381  3.62831 -0.01391 -20.07627
floor::mirUV  3.77296 -0.00214 -20.07627  3.66448 -0.01744 -19.97381  3.62831 -0.01744 -19.97381
floor::mirUV  3.62831 -0.01391 -20.07627  3.62831 -0.01744 -19.97381  3.56804 -0.01744 -19.97381
floor::mirUV  3.62831 -0.01391 -20.07627  3.54393 -0.01744 -19.97381  3.54394 -0.00773 -20.07627
floor::mirUV  3.62831 -0.01391 -20.07627  3.56804 -0.01744 -19.97381  3.54393 -0.01744 -19.97381
floor::mirUV  3.54394 -0.00773 -20.07627  3.39928 -0.01744 -19.97381  3.39928 -0.00214 -20.07627
floor::mirUV  3.54394 -0.00773 -20.07627  3.54393 -0.01744 -19.97381  3.39928 -0.01744 -19.97381
floor::mirUV  3.39928 -0.00214 -20.07627  3.39928 -0.01744 -19.97381  2.90506 -0.01744 -19.97381
floor::mirUV  3.39928 -0.00214 -20.07627  2.90506 -0.01744 -19.97381  2.76041 -0.01744 -19.97381
floor::mirUV  3.39928 -0.00214 -20.07627  2.76041 -0.01744 -19.97381  2.67603 -0.01744 -19.97381
floor::mirUV  3.39928 -0.00214 -20.07627  2.67603 -0.01744 -19.97381  2.61576 -0.01744 -19.97381
floor::mirUV  3.39928 -0.00214 -20.07627  2.61576 -0.01744 -19.97381  2.56754 -0.00214 -20.07627
floor::mirUV  2.56754 -0.00214 -20.07627  2.61576 -0.01744 -19.97381  2.56754 -0.01744 -19.97381
floor::mirUV  2.56754 -0.00214 -20.07627  2.56754 -0.01744 -19.97381  2.53138 -0.01744 -19.97381
floor::mirUV  2.56754 -0.00214 -20.07627  2.53138 -0.01744 -19.97381  2.47111 -0.03391 -19.97381
floor::mirUV  2.56754 -0.00214 -20.07627  2.43495 -0.01744 -19.97381  2.43495 -0.01744 -20.07627
floor::mirUV  2.56754 -0.00214 -20.07627  2.47111 -0.03391 -19.97381  2.43495 -0.01744 -19.97381
floor::mirUV  2.43495 -0.01744 -20.07627  2.43495 -0.01744 -19.97381  2.30235 -0.00214 -20.07627
floor::mirUV  2.30235 -0.00214 -20.07627  2.43495 -0.01744 -19.97381  2.30235 -0.01744 -19.97381
floor::mirUV  2.30235 -0.00214 -20.07627  2.30235 -0.01744 -19.97381  2.21797 -0.01744 -19.97381
floor::mirUV  2.30235 -0.00214 -20.07627  2.21797 -0.01744 -19.97381  2.07332 -0.01744 -19.97381
floor::mirUV  10.00499 -0.01744 -19.97381  10.00498 -0.00185 -19.86833  9.96882 -0.01744 -19.97381
floor::mirUV  9.96882 -0.01744 -19.97381  10.00498 -0.00185 -19.86833  9.82417 -0.02832 -19.97381
floor::mirUV  9.82417 -0.02832 -19.97381  9.73979 -0.02332 -19.86834  9.73979 -0.02332 -19.97381
floor::mirUV  9.82417 -0.02832 -19.97381  10.00498 -0.00185 -19.86833  9.73979 -0.02332 -19.86834
floor::mirUV  9.73979 -0.02332 -19.97381  9.73979 -0.02332 -19.86834  9.69158 -0.01744 -19.97381
floor::mirUV  9.69158 -0.01744 -19.97381  9.59514 -0.00156 -19.86833  9.59514 -0.01744 -19.97381
floor::mirUV  9.69158 -0.01744 -19.97381  9.73979 -0.02332 -19.86834  9.59514 -0.00156 -19.86833
floor::mirUV  9.59514 -0.01744 -19.97381  9.59514 -0.00156 -19.86833  9.54692 -0.01744 -19.97381
floor::mirUV  9.54692 -0.01744 -19.97381  8.65491 -0.00156 -19.86833  8.65492 -0.01744 -19.97381
floor::mirUV  9.54692 -0.01744 -19.97381  9.59514 -0.00156 -19.86833  8.65491 -0.00156 -19.86833
floor::mirUV  8.65492 -0.01744 -19.97381  8.54643 -0.01508 -19.86833  8.54643 -0.01744 -19.97381
floor::mirUV  8.65492 -0.01744 -19.97381  8.65491 -0.00156 -19.86833  8.54643 -0.01508 -19.86833
floor::mirUV  8.54643 -0.01744 -19.97381  8.54643 -0.01508 -19.86833  8.49821 -0.01744 -19.97381
floor::mirUV  8.49821 -0.01744 -19.97381  8.44999 -0.00244 -19.86833  8.44999 -0.01744 -19.97381
floor::mirUV  8.49821 -0.01744 -19.97381  8.54643 -0.01508 -19.86833  8.44999 -0.00244 -19.86833
floor::mirUV  8.44999 -0.01744 -19.97381  8.44999 -0.00244 -19.86833  8.34151 -0.01744 -19.97381
floor::mirUV  8.34151 -0.01744 -19.97381  8.44999 -0.00244 -19.86833  7.67853 -0.01744 -19.97381
floor::mirUV  7.67853 -0.01744 -19.97381  8.44999 -0.00244 -19.86833  7.53387 -0.01744 -19.97381
floor::mirUV  7.53387 -0.01744 -19.97381  7.44950 -0.00156 -19.86833  7.44950 -0.01744 -19.97381
floor::mirUV  7.53387 -0.01744 -19.97381  8.44999 -0.00244 -19.86833  7.44950 -0.00156 -19.86833
floor::mirUV  7.44950 -0.01744 -19.97381  7.31690 -0.01979 -19.86833  7.31690 -0.01979 -19.97381
floor::mirUV  7.44950 -0.01744 -19.97381  7.44950 -0.00156 -19.86833  7.31690 -0.01979 -19.86833
floor::mirUV  7.31690 -0.01979 -19.97381  7.31690 -0.01979 -19.86833  7.26868 -0.01744 -19.97381
floor::mirUV  7.26868 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  7.18430 -0.01744 -19.97381
floor::mirUV  7.26868 -0.01744 -19.97381  7.31690 -0.01979 -19.86833  7.18430 -0.00156 -19.86833
floor::mirUV  7.18430 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  7.12403 -0.01744 -19.97381
floor::mirUV  7.12403 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  6.24408 -0.01744 -19.97381
floor::mirUV  6.24408 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  6.11148 -0.01744 -19.97381
floor::mirUV  6.11148 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  5.97888 -0.01744 -19.97381
floor::mirUV  5.97888 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  5.08687 -0.01744 -19.97381
floor::mirUV  5.08687 -0.01744 -19.97381  7.18430 -0.00156 -19.86833  5.08687 -0.00156 -19.86833
floor::mirUV  5.08687 -0.01744 -19.97381  5.08687 -0.00156 -19.86833  4.93017 -0.03156 -19.97381
floor::mirUV  4.93017 -0.03156 -19.97381  5.08687 -0.00156 -19.86833  4.93017 -0.03156 -19.86833
floor::mirUV  4.93017 -0.03156 -19.97381  4.93017 -0.03156 -19.86833  4.77346 -0.01744 -19.97381
floor::mirUV  4.77346 -0.01744 -19.97381  4.93017 -0.03156 -19.86833  4.77346 -0.00156 -19.86833
floor::mirUV  4.77346 -0.01744 -19.97381  4.77346 -0.00156 -19.86833  3.77296 -0.01744 -19.97381
floor::mirUV  3.77296 -0.01744 -19.97381  4.77346 -0.00156 -19.86833  3.77296 -0.00156 -19.86833
floor::mirUV  3.77296 -0.01744 -19.97381  3.77296 -0.00156 -19.86833  3.66448 -0.01744 -19.97381
floor::mirUV  3.66448 -0.01744 -19.97381  3.77296 -0.00156 -19.86833  3.66448 -0.01038 -19.86833
floor::mirUV  3.66448 -0.01744 -19.97381  3.66448 -0.01038 -19.86833  3.62831 -0.01744 -19.97381
floor::mirUV  3.62831 -0.01744 -19.97381  3.56804 -0.00156 -19.86833  3.56804 -0.01744 -19.97381
floor::mirUV  3.62831 -0.01744 -19.97381  3.66448 -0.01038 -19.86833  3.56804 -0.00156 -19.86833
floor::mirUV  3.56804 -0.01744 -19.97381  3.56804 -0.00156 -19.86833  3.54393 -0.01744 -19.97381
floor::mirUV  3.54393 -0.01744 -19.97381  3.56804 -0.00156 -19.86833  3.39928 -0.01744 -19.97381
floor::mirUV  3.39928 -0.01744 -19.97381  3.56804 -0.00156 -19.86833  2.90506 -0.01744 -19.97381
floor::mirUV  2.90506 -0.01744 -19.97381  3.56804 -0.00156 -19.86833  2.90506 -0.00156 -19.86833
floor::mirUV  2.90506 -0.01744 -19.97381  2.90506 -0.00156 -19.86833  2.76041 -0.01744 -19.97381
floor::mirUV  2.76041 -0.01744 -19.97381  2.90506 -0.00156 -19.86833  2.76041 -0.00861 -19.86833
floor::mirUV  2.76041 -0.01744 -19.97381  2.76041 -0.00861 -19.86833  2.67603 -0.01744 -19.97381
floor::mirUV  2.67603 -0.01744 -19.97381  2.76041 -0.00861 -19.86833  2.67603 -0.00361 -19.86833
floor::mirUV  2.67603 -0.01744 -19.97381  2.67603 -0.00361 -19.86833  2.61576 -0.01744 -19.97381
floor::mirUV  2.61576 -0.01744 -19.97381  2.67603 -0.00361 -19.86833  2.61576 -0.00508 -19.86833
floor::mirUV  2.61576 -0.01744 -19.97381  2.61576 -0.00508 -19.86833  2.56754 -0.01744 -19.97381
floor::mirUV  2.56754 -0.01744 -19.97381  2.61576 -0.00508 -19.86833  2.53138 -0.01744 -19.97381
floor::mirUV  2.53138 -0.01744 -19.97381  2.61576 -0.00508 -19.86833  2.53138 -0.00714 -19.86833
floor::mirUV  2.53138 -0.01744 -19.97381  2.47111 -0.03391 -19.86833  2.47111 -0.03391 -19.97381
floor::mirUV  2.53138 -0.01744 -19.97381  2.53138 -0.00714 -19.86833  2.47111 -0.03391 -19.86833
floor::mirUV  2.47111 -0.03391 -19.97381  2.47111 -0.03391 -19.86833  2.43495 -0.01744 -19.97381
floor::mirUV  2.43495 -0.01744 -19.97381  2.47111 -0.03391 -19.86833  2.30235 -0.01744 -19.97381
floor::mirUV  2.30235 -0.01744 -19.97381  2.21797 -0.00303 -19.86833  2.21797 -0.01744 -19.97381
floor::mirUV  2.30235 -0.01744 -19.97381  2.47111 -0.03391 -19.86833  2.21797 -0.00303 -19.86833
floor::mirUV  2.21797 -0.01744 -19.97381  2.07332 -0.00156 -19.86833  2.07332 -0.01744 -19.97381
floor::mirUV  2.21797 -0.01744 -19.97381  2.21797 -0.00303 -19.86833  2.07332 -0.00156 -19.86833
floor::mirUV  10.00498 -0.00185 -19.86833  10.00498 -0.00391 -18.83770  9.73979 -0.02332 -19.86834
floor::mirUV  9.73979 -0.02332 -19.86834  10.00498 -0.00391 -18.83770  9.73979 -0.02332 -18.83770
floor::mirUV  9.73979 -0.02332 -19.86834  9.73979 -0.02332 -18.83770  9.59514 -0.00156 -19.86833
floor::mirUV  9.59514 -0.00156 -19.86833  9.73979 -0.02332 -18.83770  9.59514 -0.00391 -18.83770
floor::mirUV  9.59514 -0.00156 -19.86833  8.65492 -0.00391 -18.83770  8.65491 -0.00156 -19.86833
floor::mirUV  9.59514 -0.00156 -19.86833  9.59514 -0.00391 -18.83770  8.65492 -0.00391 -18.83770
floor::mirUV  8.65491 -0.00156 -19.86833  8.54643 -0.01508 -18.83770  8.54643 -0.01508 -19.86833
floor::mirUV  8.65491 -0.00156 -19.86833  8.65492 -0.00391 -18.83770  8.54643 -0.01508 -18.83770
floor::mirUV  8.54643 -0.01508 -19.86833  8.44999 -0.00391 -18.83770  8.44999 -0.00244 -19.86833
floor::mirUV  8.54643 -0.01508 -19.86833  8.54643 -0.01508 -18.83770  8.44999 -0.00391 -18.83770
floor::mirUV  8.44999 -0.00244 -19.86833  8.44999 -0.00391 -18.83770  7.44950 -0.00156 -19.86833
floor::mirUV  7.44950 -0.00156 -19.86833  8.44999 -0.00391 -18.83770  7.44950 -0.00391 -18.83770
floor::mirUV  7.44950 -0.00156 -19.86833  7.44950 -0.00391 -18.83770  7.31690 -0.01979 -19.86833
floor::mirUV  7.31690 -0.01979 -19.86833  7.44950 -0.00391 -18.83770  7.31690 -0.02097 -18.83770
floor::mirUV  7.31690 -0.01979 -19.86833  7.31690 -0.02097 -18.83770  7.18430 -0.00156 -19.86833
floor::mirUV  7.18430 -0.00156 -19.86833  7.31690 -0.02097 -18.83770  7.18430 -0.00744 -18.83770
floor::mirUV  7.18430 -0.00156 -19.86833  7.18430 -0.00744 -18.83770  5.08687 -0.00156 -19.86833
floor::mirUV  5.08687 -0.00156 -19.86833  7.18430 -0.00744 -18.83770  5.08687 -0.00391 -18.83770
floor::mirUV  5.08687 -0.00156 -19.86833  4.93017 -0.02567 -18.83770  4.93017 -0.03156 -19.86833
floor::mirUV  5.08687 -0.00156 -19.86833  5.08687 -0.00391 -18.83770  4.93017 -0.02567 -18.83770
floor::mirUV  4.93017 -0.03156 -19.86833  4.93017 -0.02567 -18.83770  4.77346 -0.00156 -19.86833
floor::mirUV  4.77346 -0.00156 -19.86833  4.93017 -0.02567 -18.83770  4.77346 -0.00391 -18.83770
floor::mirUV  4.77346 -0.00156 -19.86833  3.77296 -0.00391 -18.83770  3.77296 -0.00156 -19.86833
floor::mirUV  4.77346 -0.00156 -19.86833  4.77346 -0.00391 -18.83770  3.77296 -0.00391 -18.83770
floor::mirUV  3.77296 -0.00156 -19.86833  3.77296 -0.00391 -18.83770  3.66448 -0.01038 -19.86833
floor::mirUV  3.66448 -0.01038 -19.86833  3.77296 -0.00391 -18.83770  3.66448 -0.01038 -18.83770
floor::mirUV  3.66448 -0.01038 -19.86833  3.56804 -0.00391 -18.83770  3.56804 -0.00156 -19.86833
floor::mirUV  3.66448 -0.01038 -19.86833  3.66448 -0.01038 -18.83770  3.56804 -0.00391 -18.83770
floor::mirUV  3.56804 -0.00156 -19.86833  3.56804 -0.00391 -18.83770  2.90506 -0.00156 -19.86833
floor::mirUV  2.90506 -0.00156 -19.86833  3.56804 -0.00391 -18.83770  2.90506 -0.00391 -18.83770
floor::mirUV  2.90506 -0.00156 -19.86833  2.76041 -0.00861 -18.83770  2.76041 -0.00861 -19.86833
floor::mirUV  2.90506 -0.00156 -19.86833  2.90506 -0.00391 -18.83770  2.76041 -0.00861 -18.83770
floor::mirUV  2.76041 -0.00861 -19.86833  2.67603 -0.00391 -18.83770  2.67603 -0.00361 -19.86833
floor::mirUV  2.76041 -0.00861 -19.86833  2.76041 -0.00861 -18.83770  2.67603 -0.00391 -18.83770
floor::mirUV  2.67603 -0.00361 -19.86833  2.67603 -0.00391 -18.83770  2.61576 -0.00508 -19.86833
floor::mirUV  2.61576 -0.00508 -19.86833  2.67603 -0.00391 -18.83770  2.61576 -0.00508 -18.83770
floor::mirUV  2.61576 -0.00508 -19.86833  2.53138 -0.00714 -18.83770  2.53138 -0.00714 -19.86833
floor::mirUV  2.61576 -0.00508 -19.86833  2.61576 -0.00508 -18.83770  2.53138 -0.00714 -18.83770
floor::mirUV  2.53138 -0.00714 -19.86833  2.47111 -0.03685 -18.83770  2.47111 -0.03391 -19.86833
floor::mirUV  2.53138 -0.00714 -19.86833  2.53138 -0.00714 -18.83770  2.47111 -0.03685 -18.83770
floor::mirUV  2.47111 -0.03391 -19.86833  2.47111 -0.03685 -18.83770  2.21797 -0.00303 -19.86833
floor::mirUV  2.21797 -0.00303 -19.86833  2.47111 -0.03685 -18.83770  2.21797 -0.00391 -18.83770
floor::mirUV  2.21797 -0.00303 -19.86833  2.21797 -0.00391 -18.83770  2.07332 -0.00156 -19.86833
floor::mirUV  2.07332 -0.00156 -19.86833  2.21797 -0.00391 -18.83770  2.07332 -0.00391 -18.83770
floor::mirUV  10.00498 -0.00391 -18.83770  10.00498 -0.02273 -18.70510  9.88444 -0.02273 -18.70510
floor::mirUV  10.00498 -0.00391 -18.83770  9.73979 -0.02332 -18.70510  9.73979 -0.02332 -18.83770
