# mat  ax ay az  bx by bz  cx cy cz
rooms::mirUV  -2.60724 7.15335 0.59591  -2.46870 7.46782 -0.15429  -2.60612 7.15280 -0.17559
rooms::mirUV  -2.76090 6.84627 -0.19689  -2.60612 7.15280 -0.17559  -2.75350 6.84266 -0.96842
rooms::mirUV  -2.60612 7.15280 -0.17559  -2.60397 7.15176 -0.94709  -2.75350 6.84266 -0.96842
rooms::mirUV  -2.60612 7.15280 -0.17559  -2.46870 7.46782 -0.15429  -2.46870 7.46782 -0.92576
rooms::mirUV  -2.60612 7.15280 -0.17559  -2.46870 7.46782 -0.92576  -2.60397 7.15176 -0.94709
rooms::mirUV  -2.75350 6.84266 -0.96842  -2.60397 7.15176 -0.94709  -2.60997 7.15468 -1.71859
rooms::mirUV  -2.75350 6.84266 -0.96842  -2.60997 7.15468 -1.71859  -2.75773 6.84472 -1.73994
rooms::mirUV  -2.60397 7.15176 -0.94709  -2.46870 7.46782 -0.92576  -2.46870 7.46782 -1.69723
rooms::mirUV  -2.60397 7.15176 -0.94709  -2.46870 7.46782 -1.69723  -2.60997 7.15468 -1.71859
rooms::mirUV  -2.75773 6.84472 -1.73994  -2.60997 7.15468 -1.71859  -2.63211 7.16549 -2.49009
rooms::mirUV  -2.75773 6.84472 -1.73994  -2.63211 7.16549 -2.49009  -2.79552 6.86316 -2.51147
rooms::mirUV  -2.60997 7.15468 -1.71859  -2.46870 7.46782 -1.69723  -2.46870 7.46782 -2.46870
rooms::mirUV  -2.60997 7.15468 -1.71859  -2.46870 7.46782 -2.46870  -2.63211 7.16549 -2.49009
rooms::mirUV  2.10707 6.33027 4.45775  2.10707 7.46782 3.70305  2.04198 7.46782 3.70305
rooms::mirUV  2.04198 6.35583 4.49865  2.04198 7.46782 3.70305  1.97930 7.46782 3.70305
rooms::mirUV  1.97930 6.33027 4.45775  1.97930 7.46782 3.70305  0.60753 7.46782 3.70305
rooms::mirUV  0.54726 6.35989 4.50514  0.60753 7.46782 3.70305  0.54726 7.46782 3.70305
rooms::mirUV  0.51351 6.36051 4.50613  0.54726 7.46782 3.70305  0.51351 7.46782 3.70305
rooms::mirUV  0.51351 6.36051 4.50613  0.51351 7.46782 3.70305  0.45565 7.46782 3.70305
rooms::mirUV  0.45565 6.33027 4.45775  0.45565 7.46782 3.70305  -0.91612 7.46782 3.70305
rooms::mirUV  -0.96916 6.34710 4.48468  -0.91612 7.46782 3.70305  -0.96916 7.46782 3.70305
rooms::mirUV  -0.96916 6.34710 4.48468  -0.96916 7.46782 3.70305  -1.02220 7.46782 3.70305
rooms::mirUV  -2.41566 6.33027 4.45775  -1.02220 7.46782 3.70305  -2.41566 7.46782 3.70305
rooms::mirUV  -2.41566 6.33027 4.45775  -2.41566 7.46782 3.70305  -2.46870 7.46782 3.70305
rooms::mirUV  -2.46870 6.85064 -4.93740  -2.77488 7.66393 -5.10421  -2.77072 7.05122 -5.10483
rooms::mirUV  -2.46870 6.85064 -4.93740  -2.46870 7.46782 -4.93740  -2.77488 7.66393 -5.10421
rooms::mirUV  2.62233 7.56540 -5.02070  1.85152 7.66016 -5.10240  1.69723 7.55987 -5.02525
rooms::mirUV  1.69723 7.55987 -5.02525  1.85152 7.66016 -5.10240  0.92576 7.66016 -5.10240
rooms::mirUV  1.85152 7.66016 -5.10240  1.08006 7.79847 -5.13012  0.92576 7.66016 -5.10240
rooms::mirUV  1.85152 7.66016 -5.10240  2.00582 7.79847 -5.13012  1.08006 7.79847 -5.13012
rooms::mirUV  0.92576 7.66016 -5.10240  1.08006 7.79847 -5.13012  0.15429 7.79847 -5.13012
rooms::mirUV  -2.77488 7.66393 -5.10421  -2.00582 7.56131 -5.02339  -2.16011 7.66017 -5.10240
rooms::mirUV  -2.77488 7.66393 -5.10421  -2.62179 7.56588 -5.02080  -2.00582 7.56131 -5.02339
rooms::mirUV  -2.62179 7.56588 -5.02080  -1.85152 7.46782 -4.93740  -2.00582 7.56131 -5.02339
rooms::mirUV  -2.62179 7.56588 -5.02080  -2.46870 7.46782 -4.93740  -1.85152 7.46782 -4.93740
rooms::mirUV  -2.31441 7.79847 -5.13012  -1.54294 7.66016 -5.10240  -1.69723 7.79847 -5.13012
rooms::mirUV  -2.31441 7.79847 -5.13012  -2.16011 7.66017 -5.10240  -1.54294 7.66016 -5.10240
rooms::mirUV  -2.16011 7.66017 -5.10240  -1.38864 7.55888 -5.02654  -1.54294 7.66016 -5.10240
rooms::mirUV  -2.16011 7.66017 -5.10240  -2.00582 7.56131 -5.02339  -1.38864 7.55888 -5.02654
rooms::mirUV  -2.00582 7.56131 -5.02339  -1.23435 7.46782 -4.93740  -1.38864 7.55888 -5.02654
rooms::mirUV  -2.00582 7.56131 -5.02339  -1.85152 7.46782 -4.93740  -1.23435 7.46782 -4.93740
rooms::mirUV  -1.69723 7.79847 -5.13012  -0.92576 7.66590 -5.09494  -1.08006 7.79847 -5.13012
rooms::mirUV  -1.69723 7.79847 -5.13012  -1.54294 7.66016 -5.10240  -0.92576 7.66590 -5.09494
rooms::mirUV  -1.54294 7.66016 -5.10240  -0.77147 7.55629 -5.02991  -0.92576 7.66590 -5.09494
rooms::mirUV  -1.54294 7.66016 -5.10240  -1.38864 7.55888 -5.02654  -0.77147 7.55629 -5.02991
rooms::mirUV  -1.38864 7.55888 -5.02654  -0.61717 7.46782 -4.93740  -0.77147 7.55629 -5.02991
rooms::mirUV  -1.38864 7.55888 -5.02654  -1.23435 7.46782 -4.93740  -0.61717 7.46782 -4.93740
rooms::mirUV  -1.08006 7.79847 -5.13012  -0.30859 7.66016 -5.10240  -0.46288 7.79847 -5.13012
rooms::mirUV  -1.08006 7.79847 -5.13012  -0.92576 7.66590 -5.09494  -0.30859 7.66016 -5.10240
rooms::mirUV  -0.92576 7.66590 -5.09494  -0.15429 7.55640 -5.02977  -0.30859 7.66016 -5.10240
rooms::mirUV  -0.92576 7.66590 -5.09494  -0.77147 7.55629 -5.02991  -0.15429 7.55640 -5.02977
rooms::mirUV  -0.77147 7.55629 -5.02991  0.00000 7.46782 -4.93740  -0.15429 7.55640 -5.02977
rooms::mirUV  -0.77147 7.55629 -5.02991  -0.61717 7.46782 -4.93740  0.00000 7.46782 -4.93740
rooms::mirUV  -0.46288 7.79847 -5.13012  0.30859 7.66016 -5.10240  0.15429 7.79847 -5.13012
rooms::mirUV  -0.46288 7.79847 -5.13012  -0.30859 7.66016 -5.10240  0.30859 7.66016 -5.10240
rooms::mirUV  -0.30859 7.66016 -5.10240  0.46288 7.56346 -5.02059  0.30859 7.66016 -5.10240
rooms::mirUV  -0.30859 7.66016 -5.10240  -0.15429 7.55640 -5.02977  0.46288 7.56346 -5.02059
rooms::mirUV  -0.15429 7.55640 -5.02977  0.61717 7.46782 -4.93740  0.46288 7.56346 -5.02059
rooms::mirUV  -0.15429 7.55640 -5.02977  0.00000 7.46782 -4.93740  0.61717 7.46782 -4.93740
rooms::mirUV  0.15429 7.79847 -5.13012  0.30859 7.66016 -5.10240  0.92576 7.66016 -5.10240
rooms::mirUV  0.30859 7.66016 -5.10240  1.08006 7.56045 -5.02451  0.92576 7.66016 -5.10240
rooms::mirUV  0.30859 7.66016 -5.10240  0.46288 7.56346 -5.02059  1.08006 7.56045 -5.02451
rooms::mirUV  0.46288 7.56346 -5.02059  1.23435 7.46782 -4.93740  1.08006 7.56045 -5.02451
rooms::mirUV  0.46288 7.56346 -5.02059  0.61717 7.46782 -4.93740  1.23435 7.46782 -4.93740
rooms::mirUV  0.92576 7.66016 -5.10240  1.08006 7.56045 -5.02451  1.69723 7.55987 -5.02525
rooms::mirUV  1.08006 7.56045 -5.02451  1.85152 7.46782 -4.93740  1.69723 7.55987 -5.02525
rooms::mirUV  1.08006 7.56045 -5.02451  1.23435 7.46782 -4.93740  1.85152 7.46782 -4.93740
rooms::mirUV  1.69723 7.55987 -5.02525  1.85152 7.46782 -4.93740  2.46870 7.46782 -4.93740
rooms::mirUV  -3.12234 6.25850 -2.55424  -2.46870 7.46782 -2.46870  -2.46870 7.46782 -3.70305
rooms::mirUV  -3.11582 6.26809 -3.79597  -2.46870 7.46782 -3.70305  -2.46870 7.46782 -4.93740
siling  -2.46870 7.46782 -2.46870  -2.46870 7.46782 3.70305  2.46870 7.46782 3.70305
siling  2.46870 7.46782 3.70305  2.46870 7.46782 -2.46870  -2.46870 7.46782 -2.46870
siling  2.46870 7.46782 -2.46870  2.46870 7.46782 -4.93740  -2.46870 7.46782 -4.93740
siling  -2.46870 7.46782 -4.93740  -2.46870 7.46782 -2.46870  2.46870 7.46782 -2.46870
rooms  3.67566 4.68143 3.53408  3.80458 4.74598 3.48257  3.68919 4.74996 3.53561
rooms  3.67566 4.68143 3.53408  3.68899 4.68089 2.60537  3.80458 4.74598 3.48257
rooms  3.68899 4.68089 2.60537  3.80458 4.74598 2.60537  3.80458 4.74598 3.48257
rooms  3.68899 4.68089 2.60537  3.74458 4.68089 2.53905  3.80458 4.74598 2.53905
rooms  3.68899 4.68089 2.60537  3.80458 4.74598 2.53905  3.80458 4.74598 2.60537
rooms  3.74458 4.68089 2.53905  3.67987 4.68089 2.47575  3.80458 4.74598 2.53905
rooms  3.67987 4.68089 2.47575  3.80458 4.74598 2.47575  3.80458 4.74598 2.53905
rooms  3.67987 4.68089 2.47575  3.80458 4.74598 2.08990  3.80458 4.74598 2.47575
rooms  3.67987 4.68089 2.47575  3.80458 4.74598 2.02961  3.80458 4.74598 2.08990
rooms  3.67987 4.68089 2.47575  3.80458 4.74598 1.99343  3.80458 4.74598 2.02961
rooms  3.67987 4.68089 2.47575  3.80458 4.74598 1.93616  3.80458 4.74598 1.99343
rooms  3.67987 4.68089 2.47575  3.69252 4.68089 1.10417  3.80458 4.74598 1.93616
rooms  3.69252 4.68089 1.10417  3.80458 4.74598 1.10417  3.80458 4.74598 1.93616
rooms  3.69252 4.68089 1.10417  3.76928 4.68089 1.04690  3.80458 4.74598 1.04690
rooms  3.69252 4.68089 1.10417  3.80458 4.74598 1.04690  3.80458 4.74598 1.10417
rooms  3.76928 4.68089 1.04690  3.74311 4.68089 1.01072  3.80458 4.74598 1.04690
rooms  3.74311 4.68089 1.01072  3.80458 4.74598 1.01072  3.80458 4.74598 1.04690
rooms  3.74311 4.68089 1.01072  3.68869 4.68089 0.95043  3.80458 4.74598 1.01072
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 0.95043  3.80458 4.74598 1.01072
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 0.58870  3.80458 4.74598 0.95043
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 0.53142  3.80458 4.74598 0.58870
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 0.49525  3.80458 4.74598 0.53142
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 0.43496  3.80458 4.74598 0.49525
rooms  3.68869 4.68089 0.95043  3.68664 4.68089 -0.37291  3.80458 4.74598 -0.37291
rooms  3.68869 4.68089 0.95043  3.80458 4.74598 -0.37291  3.80458 4.74598 0.43496
rooms  3.68664 4.68089 -0.37291  3.74046 4.68089 -0.43019  3.80458 4.74598 -0.37291
rooms  3.74046 4.68089 -0.43019  3.80458 4.74598 -0.43019  3.80458 4.74598 -0.37291
rooms  3.74046 4.68089 -0.43019  3.75311 4.68089 -0.49048  3.80458 4.74598 -0.43019
rooms  3.75311 4.68089 -0.49048  3.80458 4.74598 -0.49047  3.80458 4.74598 -0.43019
rooms  3.75311 4.68089 -0.49048  3.68752 4.68089 -0.54775  3.80458 4.74598 -0.54775
rooms  3.75311 4.68089 -0.49048  3.80458 4.74598 -0.54775  3.80458 4.74598 -0.49047
rooms  3.68752 4.68089 -0.54775  3.80458 4.74598 -0.91250  3.80458 4.74598 -0.54775
rooms  3.68752 4.68089 -0.54775  3.80458 4.74598 -0.97580  3.80458 4.74598 -0.91250
